tweet,date,weekStarting
Snowed in? Show us how you're spicing things up tonight!,2015-02-17,2015-02-15
It’s Thursday and we know what you’re thirsty for  1 1/2 Admiral Nelson's Vanilla Rum  Orange Soda Mix...,2015-02-19,2015-02-15
Words to live by this weekend!,2015-02-20,2015-02-15
Full house for tonight's game,2015-02-24,2015-02-22
Kick back with some cherry spiced in your cup 2 oz. Admiral Nelson's Cherry Spiced Rum  6 oz. Sour Mix Pour...,2015-02-26,2015-02-22
Are you ready?,2015-02-27,2015-02-22
We know you're already dreaming about this   1 1/2 Admiral Nelson's Vanilla Rum  Orange Soda Mix ingredients in a...,2015-03-03,2015-03-01
Kick back with the Admiral tonight!,2015-03-05,2015-03-01
There's a flavor for your every adventure,2015-03-06,2015-03-01
You can't go wrong tonight,2015-03-11,2015-03-08
Thirsty Thursday's on the Admiral!   1 oz. Admiral Nelson's 101 Proof Spiced Rum  10 oz. Iced Tea Pour Admiral...,2015-03-12,2015-03-08
There's a flavor for your every adventure,2015-03-13,2015-03-08
Let the games begin!,2015-03-16,2015-03-15
Cheers to St.Paddy's Day!,2015-03-17,2015-03-15
The best part of spring,2015-03-18,2015-03-15
Words to live by everyday,2015-03-23,2015-03-22
We’ve got an All-Star line up,2015-03-25,2015-03-22
It’s time to ring in warmer weather   1 1/4 oz. Admiral Nelson's Coconut Rum  1/2 oz. Milk  5 oz. Pineapple Juice...,2015-03-27,2015-03-22
We'll do our best!,2015-03-30,2015-03-29
Your basket is looking good this year,2015-04-03,2015-03-29
"Choose your flavor, choose your adventure",2015-04-07,2015-04-05
Escape to the tropics with the Admiral 1 1/4 oz. Admiral Nelson's Coconut Rum  1/2 oz. Milk  5 oz. Pineapple...,2015-04-09,2015-04-05
Don't show up empty handed tonight,2015-04-10,2015-04-05
It's never an ordinary day when you spice things up   1 oz. Admiral Nelson's Spiced Rum  1/4 oz. Peach Liqueur...,2015-04-13,2015-04-12
"Go ahead, have a Spring Fling",2015-04-15,2015-04-12
You're in good company tonight,2015-04-17,2015-04-12
Refresh and relax with some Cherry Spiced Rum  2 oz. Admiral Nelson's Cherry Spiced Rum  6 oz. Cherry Cola Pour...,2015-04-21,2015-04-19
Kick back and let the games begin!,2015-04-23,2015-04-19
The party doesn’t start until the Admiral shows up!,2015-04-24,2015-04-19
We're on board,2015-04-27,2015-04-26
Spice up your night  2 oz. Admiral Nelson's Spiced Rum  6 oz. Ginger Ale Pour Admiral Nelson's Spiced Rum in a...,2015-04-29,2015-04-26
Weekends are better with the Admiral,2015-05-01,2015-04-26
Not your mom's iced tea  1 oz. Admiral Nelson's 101 Proof Spiced Rum  10 oz. Iced Tea Pour Admiral Nelson's 101...,2015-05-04,2015-05-03
Vacation. The Admiral way.,2015-05-06,2015-05-03
Something dark is coming,2015-05-08,2015-05-03
Tonight’s round is on the Admiral  1 1/2 oz. Admiral Nelson's Coconut Rum  1 1/2 oz. Cranberry Juice Pour Admiral...,2015-05-12,2015-05-10
Dare to turn a blind eye..,2015-05-14,2015-05-10
Celebrate a good game with the Admiral!,2015-05-15,2015-05-10
Add some flavor and spice to your night  1 1/2 Admiral Nelson's Vanilla Rum  Orange Soda   Mix ingredients in a...,2015-05-19,2015-05-17
Long weekends are better with the Admiral!,2015-05-23,2015-05-17
Cheers to the brave ones today!,2015-05-25,2015-05-24
To chart your own course you need the right supplies,2015-05-27,2015-05-24
Warmer adventures await  1 1/4 oz. Admiral Nelson's Spiced Rum 4 oz. Pineapple Juice 3 oz. Cranberry Juice...,2015-05-29,2015-05-24
Summer time is Admiral time,2015-06-02,2015-05-31
Drink on the dark side tonight  2 oz. Admiral Nelson’s Black Patch Rum Root Beer Soda Pour Admiral Nelson’s in a...,2015-06-04,2015-05-31
Does anyone really know the score?,2015-06-05,2015-05-31
Perfect time for an Admiral break!,2015-06-09,2015-06-07
Will you turn a blind eye to the ordinary?,2015-06-10,2015-06-07
Pack your most important party items first,2015-06-12,2015-06-07
Trouble is brewing tonight  Black Storm:  1 1/2 oz. Admiral Nelson’s Black Patch Rum  Ginger Beer Pour Admiral...,2015-06-16,2015-06-14
Discover your darker side tonight,2015-06-18,2015-06-14
Enjoy a drink with Dad this weekend.,2015-06-19,2015-06-14
You’re ready for the game,2015-06-22,2015-06-21
We’re bringing the beach to you   1 1/4 oz. Admiral Nelson's Coconut Rum  1 oz. Cream of Coconut  2 oz. Orange...,2015-06-24,2015-06-21
Cheers to charting your own course this weekend,2015-06-26,2015-06-21
Relax tonight with a refreshing summer choice  Orange Dreamsicle:   1 1/2 Admiral Nelson's Vanilla Rum  Orange...,2015-06-29,2015-06-28
Admiral Nelson’s Black Patch. Take a drink on the dark side.,2015-07-01,2015-06-28
Enjoy your Fourth of July with the Admiral Family.,2015-07-04,2015-06-28
