weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,ALGONA,KOSSUTH,9.0,103.92
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,AMES,STORY,1.5,17.32
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,AVOCA,POTTAWATTAMIE,10.5,103.92
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,BELLE PLAINE,BENTON,1.5,17.32
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,CEDAR RAPIDS,LINN,18.0,207.84
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,CORALVILLE,JOHNSON,9.0,103.92
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,DAVENPORT,SCOTT,5.25,51.96
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,DES MOINES,POLK,9.0,103.92
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,DUBUQUE,DUBUQUE,9.0,103.92
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,HARLAN,SHELBY,3.0,34.64
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,IOWA CITY,JOHNSON,3.0,34.64
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,MARSHALLTOWN,MARSHALL,4.5,51.96
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,MISSOURI VALLEY,HARRISON,1.5,17.32
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,MUSCATINE,MUSCATINE,4.5,51.96
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,OELWEIN,FAYETTE,10.5,103.92
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,SHELDON,O'BRIEN,9.0,103.92
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,STORM LAKE,BUENA VISTA,9.0,103.92
2012-01-01,ADMIRAL NELSON CHERRY SPICED RUM,WEBSTER CITY,HAMILTON,2.25,25.98
2012-01-01,ADMIRAL NELSON COCONUT RUM,ALGONA,KOSSUTH,9.0,103.92
2012-01-01,ADMIRAL NELSON COCONUT RUM,AMES,STORY,14.0,158.47
2012-01-01,ADMIRAL NELSON COCONUT RUM,ANAMOSA,JONES,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,BELLE PLAINE,BENTON,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,BURLINGTON,DES MOINES,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,CEDAR FALLS,BLACK HAWK,12.0,130.92
2012-01-01,ADMIRAL NELSON COCONUT RUM,CEDAR RAPIDS,LINN,23.25,260.82
2012-01-01,ADMIRAL NELSON COCONUT RUM,CLIVE,POLK,2.25,25.98
2012-01-01,ADMIRAL NELSON COCONUT RUM,COLUMBUS JUNCTION,LOUISA,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,CONRAD,GRUNDY,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,DAVENPORT,SCOTT,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,FORT DODGE,WEBSTER,2.0,21.82
2012-01-01,ADMIRAL NELSON COCONUT RUM,GUTHRIE CENTER,GUTHRIE,2.25,25.98
2012-01-01,ADMIRAL NELSON COCONUT RUM,HARTLEY,O'BRIEN,1.0,10.91
2012-01-01,ADMIRAL NELSON COCONUT RUM,MAQUOKETA,JACKSON,0.75,8.66
2012-01-01,ADMIRAL NELSON COCONUT RUM,MISSOURI VALLEY,HARRISON,0.75,8.66
2012-01-01,ADMIRAL NELSON COCONUT RUM,OTTUWMA,WAPELLO,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,POCAHONTAS,POCAHONTAS,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,SHELDON,O'BRIEN,9.0,103.92
2012-01-01,ADMIRAL NELSON COCONUT RUM,STORM LAKE,BUENA VISTA,9.0,103.92
2012-01-01,ADMIRAL NELSON COCONUT RUM,WAVERLY,BREMER,3.75,43.3
2012-01-01,ADMIRAL NELSON COCONUT RUM,WEST BRANCH,CEDAR,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,WEST DES MOINES,POLK,3.0,34.64
2012-01-01,ADMIRAL NELSON COCONUT RUM,WEST LIBERTY,MUSCATINE,1.5,17.32
2012-01-01,ADMIRAL NELSON COCONUT RUM,WILLIAMSBURG,IOWA,2.0,21.82
2012-01-01,ADMIRAL NELSON SPICED RUM,ALGONA,KOSSUTH,39.0,442.67999999999995
2012-01-01,ADMIRAL NELSON SPICED RUM,AMES,STORY,33.0,371.49
2012-01-01,ADMIRAL NELSON SPICED RUM,ANKENY,POLK,1.5,16.44
2012-01-01,ADMIRAL NELSON SPICED RUM,ATLANTIC,CASS,0.5,5.66
2012-01-01,ADMIRAL NELSON SPICED RUM,AVOCA,POTTAWATTAMIE,4.0,43.64
2012-01-01,ADMIRAL NELSON SPICED RUM,BETTENDORF,SCOTT,13.0,149.2
2012-01-01,ADMIRAL NELSON SPICED RUM,BROOKLYN,POWESHIEK,1.125,12.33
2012-01-01,ADMIRAL NELSON SPICED RUM,BURLINGTON,DES MOINES,13.25,152.88
2012-01-01,ADMIRAL NELSON SPICED RUM,CARROLL,CARROLL,7.5,85.24000000000001
2012-01-01,ADMIRAL NELSON SPICED RUM,CASCADE,DUBUQUE,12.0,130.92
2012-01-01,ADMIRAL NELSON SPICED RUM,CEDAR FALLS,BLACK HAWK,12.0,130.92
2012-01-01,ADMIRAL NELSON SPICED RUM,CEDAR RAPIDS,LINN,139.125,1575.93
2012-01-01,ADMIRAL NELSON SPICED RUM,CENTERVILLE,APPANOOSE,11.875,130.98
2012-01-01,ADMIRAL NELSON SPICED RUM,CLEAR LAKE,CERRO GORDO,1.5,16.44
2012-01-01,ADMIRAL NELSON SPICED RUM,CLINTON,CLINTON,10.125,116.25
2012-01-01,ADMIRAL NELSON SPICED RUM,COLUMBUS JUNCTION,LOUISA,1.125,12.33
2012-01-01,ADMIRAL NELSON SPICED RUM,CORALVILLE,JOHNSON,54.0,623.52
