tweet,date,weekStarting
"Bring on the weekend with BACARDI Limon, BACARDI Tangerine, and your backyard party. #LaborDay",2015-09-05,2015-08-30
Soak up the sun. Drink up the BACARDI. #LaborDay,2015-09-05,2015-08-30
"With every dance, a toast. With every toast, a salute to summer. #LaborDay",2015-09-06,2015-09-06
"Our recipe for a #LaborDay party: BACARDI Limon, lemonade, and license to rally till Tuesday.",2015-09-06,2015-09-06
Ending the summer on a high note that’ll last all year. #LaborDay,2015-09-07,2015-09-06
BACARDI on ice. Weekend on fire. #LaborDay,2015-09-07,2015-09-06
Never settle for less than #Superior.,2015-09-09,2015-09-06
"Raise a football, raise a glass - football season is here at last.",2015-09-10,2015-09-06
@candiicecaitlyn Just day dreaming about the BACARDI Limonade. Can you blame him?,2015-09-11,2015-09-06
"BACARDI Limon, spearmint, simple syrup, soda, lemon and lime make this a Saturday classic.",2015-09-12,2015-09-06
Our #MondayMotivation? Planning Friday night.,2015-09-14,2015-09-13
Carrying the Lolla vibes to #TomorrowWorld next week. Our kind of #TBT.,2015-09-17,2015-09-13
Life is short. Make it #superior.,2015-09-17,2015-09-13
The crowd-pleasing drink to turn any day into a killer Friday night.,2015-09-18,2015-09-13
"Make #NationalRumPunchDay a weekend-long party, stock up now.",2015-09-19,2015-09-13
"Punch up lazy Sundays with BACARDI Select, Campari, lime, and pineapple. #NationalRumPunchDay #RumDayBest",2015-09-20,2015-09-20
"Imagine a device that could unlock the most epic, unrestricted festival experience. #TomorrowWorld",2015-09-23,2015-09-20
A tee that stands out deserves to be rocked by a man who’s not afraid to: Parker from @sundayfundayz. #TomorrowWorld,2015-09-24,2015-09-20
The Untameable Tee. The key to the most next-level #TomorrowWorld experience.,2015-09-24,2015-09-20
Tomorrow awaits. #TomorrowWorld,2015-09-24,2015-09-20
Science says summer ends today. We say summer vibes rally on.,2015-09-24,2015-09-20
The Untameable Tee is charged up. So is Parker and his crew. Let’s set this thing off. #TomorrowWorld @sundayfundayz,2015-09-25,2015-09-20
@sundayfundayz's Parker crushing it at #TomorrowWorld ?: @sundayfundayz,2015-09-25,2015-09-20
Come for the Cuba Libres. Stay for the flair. #BacardiTour #TomorrowWorld,2015-09-26,2015-09-20
The party is only beginning. #TomorrowWorld,2015-09-26,2015-09-20
No VIP? No problem. It's time for a dance off. #TomorrowWorld2015,2015-09-27,2015-09-27
The best vantage point is always above the crowd. #TomorrowWorld2015,2015-09-27,2015-09-27
The night is far from over. Fuel your night at the BACARDI bar. #TomorrowWorld2015,2015-09-27,2015-09-27
What’s better than being at #TomorrowWorld2015? Being a DJ at #TomorrowWorld2015,2015-09-27,2015-09-27
The stage isn't dark yet. Get after it. #TomorrowWorld,2015-09-28,2015-09-27
"Bar banter episode no. 4. Him: “If all fails, then run.” Her: “If all fails, then RUM!”",2015-09-30,2015-09-27
Creativity comes to life as @alunageorge kicks off our Untameable Artist house party series #HouseofAlunaGeorge,2015-09-30,2015-09-27
Passion. Creativity. Unstoppable energy. Discover artists with an Untameable spirit.,2015-09-30,2015-09-27
RT @NoiseyMusic: T minus ten minutes until we hang with #Bacardi Untameable Artist @alunageorge. Get ready!,2015-10-01,2015-09-27
"Check out BACARDÍ Untameable Artist, @alunageorge live at 7:50 EST on @NoiseyMusic's Periscope. #HouseofAlunaGeorge",2015-10-01,2015-09-27
"Tonight in NYC, @alunageorge unveils something amazing at our Untameable Artist House Party. #HouseofAlunaGeorge",2015-10-02,2015-09-27
The stage is set for an epic house party with @alunageorge #HouseofAlunaGeorge,2015-10-02,2015-09-27
.@alunageorge: a passion for music. And the hustle for so much more. #Bacardi #HouseofAlunaGeorge,2015-10-02,2015-09-27
The @alunageorge signature cocktail featured at tonight’s Untameable Artist Series House Party. #HouseofAlunaGeorge,2015-10-02,2015-09-27
The @alunageorge curated playlist to inspire your Saturday night:,2015-10-03,2015-09-27
.@alunageorge took the covers off an epic project at last night’s house party. See more:,2015-10-03,2015-09-27
"Keep the weekend going with the @alunageorge inspired cocktail, ""An Englishman In New York."" #HouseofAlunaGeorge",2015-10-04,2015-10-04
Unleash your creativity. #HouseofAlunaGeorge,2015-10-05,2015-10-04
"Watch what chef @JoseEnriquePRfinds in Jamaica! Join him to discover Jamaican food, cocktails and music.",2015-10-09,2015-10-04
".@runjewels' passions extend from the stage to the shears, and they’re using our house party to show the world.",2015-10-09,2015-10-04
The night is young. Time for a BACARDI Knight Cup.,2015-10-10,2015-10-04
"Here’s to the irrepressible spirits, those who know there’s nothing in the way. #BacardiHouseParty",2015-10-12,2015-10-11
.@runjewels won't be confined. Opening barbershops and getting 1 step closer to their fans. #BacardiHouseParty,2015-10-12,2015-10-11
.@runjewels' playlist made for an epic house party. Get it here:,2015-10-13,2015-10-11
Music isn't enough for @runjewels so they unveiled their next creative venture at #HouseofJewels. #BacardiHouseParty,2015-10-13,2015-10-11
"ICYMI: Watch what Chef @JoseEnriquePR finds in Jamaica. Food, cocktails, music and more @nyamjamfestival",2015-10-13,2015-10-11
Future is tipping his hat to reveal his latest passion beyond the stage at the #BacardiHouseParty.,2015-10-17,2015-10-11
Start your week with a Future sponsored playlist from last week's #BacardiHouseParty:,2015-10-19,2015-10-18
.@1future is hustling his way to the top. #BacardiHouseParty,2015-10-21,2015-10-18
RT @alunageorge: I unveiled some of my artwork for the #BacardiHouseParty. Thank you for an amazing night @Bacardi,2015-10-21,2015-10-18
.@1future? told us to never take no for an answer at last week's #BacardiHouseParty.,2015-10-22,2015-10-18
Hats off to this @1future inspired cocktail - The DS2: BACARDI Ocho &amp; Lemon Lime Soda. #BacardiHouseParty,2015-10-22,2015-10-18
RT @lolawolfband: Throwing a #BacardiHouseParty gig 2mrw in Miami.First 50 ppl to RSVP r in!,2015-10-22,2015-10-18
Lolawolf is always hustling -- we'll reveal what's on deck at our #BacardiHouseParty.,2015-10-23,2015-10-18
A playlist curated by Lolawolf to accompany you on the hustle to the top:,2015-10-29,2015-10-25
You know a legendary party when you see it. #BacardiHouseParty,2015-10-29,2015-10-25
"@CreativePlayer2, we’re ready to turn up. Are you?",2015-10-30,2015-10-25
What happens when there’s nothing in the way? We one-up every party in history. #BacardiHouseParty,2015-10-30,2015-10-25
@DJMikeNasty Thanks for the shoutout! Keep the party rolling.,2015-10-30,2015-10-25
".@Donttestthebest We’re just pumped we got invited to the party with the Ice Princess aka @azealiabanks. BACARDI and cola, anyone?",2015-10-30,2015-10-25
Inspired by Lolawolf - a cocktail for your next #BacardiHouseParty: The Loop.,2015-10-30,2015-10-25
"RT @RCity: Hey Philly, we just landed! Get ready cause we're coming to shut down the #BacardiHouseParty @BACARDI #WhatDreamsAreMadeOf",2015-10-31,2015-10-25
"This Halloween, drink a Transylvania: BACARDI Superior, St. Germain, cranberry juice, and lime.",2015-10-31,2015-10-25
Our logo is a bat. It's Halloween. Get it? Buy BACARDI on Halloween.,2015-10-31,2015-10-25
RT @Chromeo: This is us dressing as each other at the #BacardiHouseParty in Philly ?? @BACARDI,2015-11-01,2015-11-01
Just our lil' house on the semi truck. #BacardiHouseParty ?: @artmurri,2015-11-01,2015-11-01
"RT @ComplexMag: Last night in Philly was insane thanks to @bacardi, @chromeo and @rcity #bacardihouseparty",2015-11-01,2015-11-01
"The Thomas bros of @RCity co-wrote ""Pour It Up"" so we poured it up. With BACARDI. #BacardiHouseParty @colinkerrigan",2015-11-04,2015-11-01
"@MeLoXTRA, ain’t no party like a pick up truck party, cuz a pick up truck BACARDI party don’t stop.",2015-11-05,2015-11-01
@OutSideDBox1 Lookin’ good. We’re glad Gotham is in good hands.,2015-11-05,2015-11-01
Don't try to control your inspiration. Cheers to Lolawolf bringing their passion project to our #BacardiHouseParty!,2015-11-05,2015-11-01
"@jazzyeg16, no no no you da best.",2015-11-05,2015-11-01
"@ShannnSmith, anything to keep it ?",2015-11-05,2015-11-01
"@my8lovingkids, trust us, it really is Sooooooo good.",2015-11-05,2015-11-01
@GracieCarroll we do love being part of a good turn up.,2015-11-05,2015-11-01
"@artmurri, thanks for bringing the vibes!",2015-11-05,2015-11-01
"Philly was the first stop, but not the last. The BACARDI House Party drives on. Next up: D.C. #BacardiHouseParty",2015-11-06,2015-11-01
No cooler? No problem. Consider the whole house your bar. #BacardiHouseParty,2015-11-07,2015-11-01
No plans? Pour yourself a BACARDI Black and ginger beer and rally the guys. #BacardiHouseParty ?: @colinkerrigan,2015-11-08,2015-11-08
Every bottle is a legendary house party waiting to be unleashed. #BacardiHouseParty ?: Artmurri Creative,2015-11-17,2015-11-15
