weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,BARTON GIN,ANAMOSA,JONES,1.0,5.88
2012-01-01,BARTON GIN,CEDAR RAPIDS,LINN,31.5,177.3
2012-01-01,BARTON GIN,CORALVILLE,JOHNSON,10.5,59.1
2012-01-01,BARTON GIN,COUNCIL BLUFFS,POTTAWATTAMIE,26.25,147.75
2012-01-01,BARTON GIN,DAVENPORT,SCOTT,48.0,282.24
2012-01-01,BARTON GIN,DES MOINES,POLK,154.5,905.82
2012-01-01,BARTON GIN,DUBUQUE,DUBUQUE,34.75,198.61
2012-01-01,BARTON GIN,GRINNELL,POWESHIEK,6.0,35.28
2012-01-01,BARTON GIN,IOWA CITY,JOHNSON,34.5,200.22
2012-01-01,BARTON GIN,MARSHALLTOWN,MARSHALL,10.5,59.1
2012-01-01,BARTON GIN,MISSOURI VALLEY,HARRISON,2.0,11.76
2012-01-01,BARTON GIN,NORTH LIBERTY,IOWA,10.5,59.1
2012-01-01,BARTON GIN,PELLA,MARION,3.0,17.64
2012-01-01,BARTON GIN,WASHINGTON,WASHINGTON,12.0,70.56
2012-01-01,BARTON GIN,WEST BRANCH,CEDAR,1.0,5.88
2012-01-01,BARTON RUM LIGHT,AMES,STORY,60.0,359.4
2012-01-01,BARTON RUM LIGHT,ANAMOSA,JONES,1.0,5.99
2012-01-01,BARTON RUM LIGHT,CLINTON,CLINTON,12.0,71.88
2012-01-01,BARTON RUM LIGHT,COUNCIL BLUFFS,POTTAWATTAMIE,24.0,143.76
2012-01-01,BARTON RUM LIGHT,DES MOINES,POLK,132.0,790.68
2012-01-01,BARTON RUM LIGHT,IOWA CITY,JOHNSON,24.0,143.76
2012-01-01,BARTON RUM LIGHT,MT VERNON,LINN,12.0,71.88
2012-01-01,BARTON RUM LIGHT,OSKALOOSA,MAHASKA,12.0,71.88
2012-01-01,BARTON RUM LIGHT,PELLA,MARION,12.0,71.88
2012-01-01,BARTON RUM LIGHT,URBANDALE,POLK,12.0,71.88
2012-01-01,BARTON RUM LIGHT,WINDSOR HEIGHTS,POLK,12.0,71.88
2012-01-01,BARTON VODKA,ALDEN,HARDIN,10.5,61.8
2012-01-01,BARTON VODKA,ALGONA,KOSSUTH,10.5,61.8
2012-01-01,BARTON VODKA,AMES,STORY,30.0,184.2
2012-01-01,BARTON VODKA,ANAMOSA,JONES,13.0,77.35
2012-01-01,BARTON VODKA,AVOCA,POTTAWATTAMIE,2.0,11.9
2012-01-01,BARTON VODKA,BELLE PLAINE,BENTON,10.5,61.8
2012-01-01,BARTON VODKA,BELMOND,WRIGHT,22.5,133.2
2012-01-01,BARTON VODKA,BETTENDORF,SCOTT,189.0,1123.2
