tweet,date,weekStarting
"Tonight you could wake up the neighbors. Or do what I do, invite them in. Go #FullCaptain.",2015-09-22,2015-09-20
My #bae is a broad inlet of the sea where the land curves inward.,2015-09-23,2015-09-20
It takes boom to tango. And by “boom” I mean #CannonBlast. The tango part is up to you. #HashtagBoom,2015-09-24,2015-09-20
"A gift, from me to you. You can repay me by having the time of your life tonight. #CannonBlast #HashtagBoom",2015-09-25,2015-09-20
I’ve got love in my eyes and fun in my bottle.,2015-09-26,2015-09-20
Little wins deserve a little celebration. #CannonBlast #HashtagBoom,2015-09-28,2015-09-27
Stop. Smell the roses. Captain up. Go #FullCaptain.,2015-09-28,2015-09-27
"Be a gentleman, open doors. And bottles. #RulesofRomance",2015-09-29,2015-09-27
Don’t cry over spilled boom. Just pour it again. #CannonBlast #HashtagBoom,2015-09-30,2015-09-27
"@truckdrvr10 it's rolling out nationally, so you should be seeing it in stores very soon.",2015-10-01,2015-09-27
"@Juiice13 It's rolling out nationally, so it should make its way to you very soon.",2015-10-01,2015-09-27
Phones down. Shots up. #HashtagBoom #CannonBlast,2015-10-02,2015-09-27
It’s Game Day. Take your best shot. #HashtagBoom #CannonBlast,2015-10-03,2015-09-27
If game day is your most important day of the week then I know two things: you’re probably happy right now and definitely my friend.,2015-10-04,2015-10-04
Get your rock band together and turn it up to #CannonBlast. #HashtagBoom,2015-10-06,2015-10-04
With great drinks comes great responsibility. Don't go overboard. #DrinkResponsibly,2015-10-06,2015-10-04
You don’t enjoy 100% of the shots you don’t take. #HashtagBoom #CannonBlast,2015-10-07,2015-10-04
You don’t need the C on your jersey to be a Captain tonight. Go #FullCaptain.,2015-10-07,2015-10-04
Today's Thursday which is the day before Friday! We should celebrate.,2015-10-08,2015-10-04
Blast into Happy Hour. #HashtagBoom #CannonBlast,2015-10-09,2015-10-04
"If you find yourself on the ice tonight, go #FullCaptain. If you find yourself on the dance floor, go #FullCaptain.",2015-10-09,2015-10-04
Catch me live @ the #CannonBlastCrawl on 10/17. My @FunnyOrDie mates will be broadcasting on,2015-10-11,2015-10-11
Remember: you can’t misspell “fumble” without “rum”.,2015-10-11,2015-10-11
Does anyone know a bar that does a 2-for-1 zombie night? Asking for a friend. A friend who’s a zombie.,2015-10-12,2015-10-11
Captain Hack: Search “bar” in maps. BOOM - You’ve got yourself a treasure map.,2015-10-13,2015-10-11
RT @funnyordie: Watch our Periscope Saturday to see a guy get shot out of a cannon for @CaptainMorganUS Cannon Blast! Not a joke.,2015-10-15,2015-10-11
My weekend plans? Firing this man out of cannon. Watch the #CannonBlastCrawl 10/17 at 6pm ET,2015-10-16,2015-10-11
RT @funnyordie: LIVE on #Periscope: Watch a guy get shot out of a cannon for @CaptainMorganUS Cannon Blast! ?,2015-10-17,2015-10-11
RT @Tamantha_5: @CaptainMorganUS Cannon Blast is about to begin #cannonblastcrawl #hashtagboom ?,2015-10-17,2015-10-11
"@MotorBowden I love you too, mate.",2015-10-17,2015-10-11
"RT @MotorBowden: Other people are like ""I love you""I'm like I love @CaptainMorganUS",2015-10-17,2015-10-11
"Some people shoot #CannonBlast, others live it… #CannonBlastCrawl #HashtagBoom",2015-10-17,2015-10-11
