tweet,date,weekStarting
Cheers. RT @tylermoore63: @CrownRoyal batch number 0009. Wonderful blend.,2014-11-25,2014-11-23
Fine taste is all in the details. Enter to win a FREE pair of Crown Royal Socks:,2014-11-25,2014-11-23
Happy Thanksgiving! Don’t forget the #CrownApple.,2014-11-27,2014-11-23
@305miami6924 We’re glad you finally got your hands on it. Cheers.,2014-11-28,2014-11-23
True. RT @LilCutty: That Crown Royal Apple is SO DAMN SMOOTH!!!!!!! @CrownRoyal,2014-11-29,2014-11-23
@MeanShuGame hard work pays off. Cheers.,2014-12-01,2014-11-30
@JayKondrk77 Custom labels are free and bags are $9.95,2014-12-01,2014-11-30
@bweber35 @Ynkeesgirl2 It should be on most shelves by now. Have you asked your local shops when they’d be carrying?,2014-12-01,2014-11-30
"Send your warm wishes with a custom message, fit for royalty. Order by Wednesday, Dec. 3rd for guaranteed delivery",2014-12-01,2014-11-30
Can’t argue with this RT @BaleyHays: For Christmas I want a bottle of @CrownRoyal regal apple because holy cow it's good,2014-12-02,2014-11-30
@jjgarrett31 Cheers. Enjoy responsibly.,2014-12-02,2014-11-30
It's your last chance to win a FREE pair of Crown Royal socks:,2014-12-03,2014-11-30
"@Kenelibal Maple is not new, it has been out for a few years. Regal Apple is our newest flavored whisky.",2014-12-05,2014-11-30
RT @deejaysilver1: Ready to rock the @LasVegasNFR @MGMGrand @CrownRoyal Gold Buckle Zone! Party starts at midnight! #NFR2014 #CountryClubVe…,2014-12-05,2014-11-30
Support our troops by donating your Crown Royal bags at a local participating store.,2014-12-06,2014-11-30
@TheDarthcow Cheers. Enjoying it while watching the Wings?,2014-12-07,2014-12-07
@stinkynutz Crown XO.,2014-12-08,2014-12-07
No shot glasses? No problem.,2014-12-08,2014-12-07
Well put RT @MyBigSexy: Have You Found Your #CrownForTheHolidays?   There's A @CrownRoyal for everyone...,2014-12-10,2014-12-07
There must have been some magic in that bottle of Crown.,2014-12-11,2014-12-07
Yes. RT @FRANiMAL_3: The new Crown Apple ? @CrownRoyal,2014-12-12,2014-12-07
Cheers. RT @rubyjeep66: @CrownRoyal  You are simply the best!,2014-12-14,2014-12-14
How do you use Crown Regal Apple in your holiday dessert recipes? #CrownApple,2014-12-14,2014-12-14
