tweet,date,weekStarting
Woah! @SoundsLikeNash is giving away tickets to CMA Music Fest! We'll be there! Win and come see us!,2016-06-02,2016-05-29
@AlexYoung15 Might wanna Scopes that noise. ;-),2016-06-02,2016-05-29
"Bring the heat South of the border with Alvaro Rivas, our June Bartender of the Month, at #Miroslava #Restobar!",2016-06-02,2016-05-29
"Blackwork the new tat trend. We prefer red, but cool. From @TheChive:",2016-06-02,2016-05-29
@JoshAYYbear @TheyCallMeRyanJ @MakersMark No need to break up. We don't mind sharing. ;-),2016-06-02,2016-05-29
Sacramento represent!,2016-06-02,2016-05-29
"Who ya got, gang? BronBron or Stephen? We just hope for more shots. ??",2016-06-03,2016-05-29
"@noellybby @MSPocono Soooooooo hot. (You look great, too!) ? ??",2016-06-03,2016-05-29
@ErikKuper Next time just ask…  When? And where?,2016-06-03,2016-05-29
Oooh ... What's first? #FireballFriday or #WhiskyWednesday? ??,2016-06-03,2016-05-29
We’re always ready…are you? #IgniteTheNite ??,2016-06-03,2016-05-29
@Gjon_Shyti @rayp_photos Oops. We were watching and tweeting (and technically rhyming). ;-),2016-06-03,2016-05-29
"@Wilco, @govtmuleband AND Fireball? Recipe for awesome @mountainjam this weekend! #FireballLive #MountainJam",2016-06-03,2016-05-29
Soooooo funny ...,2016-06-03,2016-05-29
@deardaniela_ @Judy_martini24 #lifegoals,2016-06-03,2016-05-29
#FireballFriday,2016-06-03,2016-05-29
@Chrisssyhanna #Firebox + @Bonnaroo…price is no object.,2016-06-04,2016-05-29
@m1k3c4v5 We think so! Now go #IgniteTheNite.,2016-06-04,2016-05-29
@RigsbyTommy Gotta take care of our Dragon Slayers…Enjoy!,2016-06-04,2016-05-29
"Fireball today, @beck tonight, Fireball tonight @mountainjam is blowin' up! #FireballLive #MountainJam",2016-06-04,2016-05-29
We’re always up for a good view! ?,2016-06-04,2016-05-29
Extended forecast: awesome.,2016-06-04,2016-05-29
.@CollegeHumor...why...just why?,2016-06-04,2016-05-29
@nobucksgiven Appreciate you letting us know. Shoot us a DM.,2016-06-04,2016-05-29
"@MaxIsAwesome108 You meant EVERY night, right?",2016-06-04,2016-05-29
@grant_poobah You're guaranteed at least one win!,2016-06-04,2016-05-29
@MaryTWegh C’mon now…a good craftswoman doesn’t blame her tools.,2016-06-05,2016-06-05
Do you have that fire in your belly? Come see us at @mountainjam &amp; we can fix it for ya. #FireballLive #MountainJam,2016-06-05,2016-06-05
@Winerdiner69er We got you! Nice ink by the way.,2016-06-05,2016-06-05
@erin_mike Slide on into our DM. ?,2016-06-05,2016-06-05
@VisceralTales Smart man! Don’t want to get stuck inside without that ??.,2016-06-05,2016-06-05
We like Fire. We like trick shots. @CMT obliges. Thank you. And you're welcome:,2016-06-06,2016-06-05
@BrendaRichoux Try using a different browser or device. That tends to work.,2016-06-06,2016-06-05
"@VisceralTales We're there for you, Tom. ?",2016-06-06,2016-06-05
This shot slaps back. #NHLPlayoffs,2016-06-06,2016-06-05
"@FluFF_Phi Technically yes, but you certainly started in monumental fashion. ;-)",2016-06-06,2016-06-05
"Art ... and McAllen, Texas ... HELLO!",2016-06-06,2016-06-05
What's your date-gone-wrong story? @TheChive hits us with a doozie list of examples here:,2016-06-07,2016-06-05
@highwaywomen See ya then! ;-),2016-06-07,2016-06-05
So does this mean we have to stop calling him @MileyCyrus's dad? ?,2016-06-07,2016-06-05
@HutchB22 @Beachbody You mean like,2016-06-07,2016-06-05
"It's like a how-to guide for being a ninja at picking the right sunglasses, from @WhiskeyRiff -",2016-06-07,2016-06-05
@SpicyCurryMo #Baller,2016-06-07,2016-06-05
Who's thirsty?,2016-06-08,2016-06-05
@OmarSaysNoMar We’re ready to meet up for shots! Where we heading?,2016-06-08,2016-06-05
17 Of The Worst Things You Could Possibly Do On Snapchat - Good tips from @whiskeyriff -,2016-06-08,2016-06-05
#WhiskyWednesday,2016-06-08,2016-06-05
RT @HRCNashville: TURN. IT. UP. @cma #FireballLive #CMAFest,2016-06-08,2016-06-05
@coach_craycraft The pressure…jk…now enough with the mushy stuff let’s celebrate! # IgniteTheNite ??,2016-06-08,2016-06-05
"Toasting with us on #TheBachelorette, we see. Show just got hotter. ??",2016-06-08,2016-06-05
Hmmm…why not? Fire ‘em up!,2016-06-08,2016-06-05
Focus on what's important.,2016-06-09,2016-06-05
@IndyJohal1 Have a really boring life! Good thing we’re here. ?,2016-06-09,2016-06-05
@StevenLP24 We’ll do one better! Hit us up in a DM.,2016-06-09,2016-06-05
"RT @twinsgirlkenz: Today is the day, #Yallers! #CWBFanClubParty @CWBYall #CMAFest2016 #Karma @TeamCWByall @FireballWhisky",2016-06-09,2016-06-05
@TinaBMD,2016-06-09,2016-06-05
"Calling all Nashville bartenders, our #RedRoom is open! Food, drink, &amp; massage behind @HonkyTonkCentra. #CMAFest",2016-06-09,2016-06-05
@Silver_Folf Hit up our DM.,2016-06-09,2016-06-05
The Dragon is at #CMAFest! Come find us @HRCNashville &amp; @HonkeyTonkCentra! #FireballLive,2016-06-09,2016-06-05
RT @ChandlerC226: @nhl #StanleyCupFinal w/ @FireballWhisky @CONSOLEnergyCtr #LetsGoPens,2016-06-10,2016-06-05
