weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,FIREBALL CINNAMON WHISKEY,ADEL,DALLAS,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,ALTOONA,POLK,25.5,449.76
2012-01-01,FIREBALL CINNAMON WHISKEY,AMES,STORY,24.75,402.29
2012-01-01,FIREBALL CINNAMON WHISKEY,ANKENY,POLK,1.5,31.96
2012-01-01,FIREBALL CINNAMON WHISKEY,ATLANTIC,CASS,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,AUDUBON,AUDUBON,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,BEDFORD,TAYLOR,1.0,16.5
2012-01-01,FIREBALL CINNAMON WHISKEY,BETTENDORF,SCOTT,2.0,33.0
2012-01-01,FIREBALL CINNAMON WHISKEY,BRITT,HANCOCK,0.75,12.99
2012-01-01,FIREBALL CINNAMON WHISKEY,BURLINGTON,DES MOINES,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,CEDAR FALLS,BLACK HAWK,45.0,779.4
2012-01-01,FIREBALL CINNAMON WHISKEY,CEDAR RAPIDS,LINN,6.75,116.91
2012-01-01,FIREBALL CINNAMON WHISKEY,CENTERVILLE,APPANOOSE,2.0,33.0
2012-01-01,FIREBALL CINNAMON WHISKEY,CLEAR LAKE,CERRO GORDO,2.0,33.0
2012-01-01,FIREBALL CINNAMON WHISKEY,CLINTON,CLINTON,45.75,792.39
2012-01-01,FIREBALL CINNAMON WHISKEY,CLIVE,POLK,3.75,64.95
2012-01-01,FIREBALL CINNAMON WHISKEY,CORYDON,WAYNE,3.0,49.5
2012-01-01,FIREBALL CINNAMON WHISKEY,COUNCIL BLUFFS,POTTAWATTAMIE,33.0,551.88
2012-01-01,FIREBALL CINNAMON WHISKEY,DAVENPORT,SCOTT,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,DES MOINES,POLK,1231.125,20420.61
2012-01-01,FIREBALL CINNAMON WHISKEY,EMMETSBURG,PALO ALTO,4.5,77.94
2012-01-01,FIREBALL CINNAMON WHISKEY,FORT DODGE,WEBSTER,25.5,367.44
2012-01-01,FIREBALL CINNAMON WHISKEY,FORT MADISON,LEE,45.0,779.4
2012-01-01,FIREBALL CINNAMON WHISKEY,GOWRIE,WEBSTER,1.5,25.98
2012-01-01,FIREBALL CINNAMON WHISKEY,GRIMES,POLK,9.75,171.86
2012-01-01,FIREBALL CINNAMON WHISKEY,GRINNELL,POWESHIEK,1.5,31.96
2012-01-01,FIREBALL CINNAMON WHISKEY,HUMBOLDT,HUMBOLDT,2.25,47.94
2012-01-01,FIREBALL CINNAMON WHISKEY,INDIANOLA,WARREN,16.5,293.88
2012-01-01,FIREBALL CINNAMON WHISKEY,JESUP,BUCHANAN,2.25,38.97
2012-01-01,FIREBALL CINNAMON WHISKEY,JOHNSTON,POLK,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,LAKE CITY,CALHOUN,1.0,16.5
2012-01-01,FIREBALL CINNAMON WHISKEY,MAQUOKETA,JACKSON,2.0,33.0
2012-01-01,FIREBALL CINNAMON WHISKEY,MARION,LINN,12.0,198.0
2012-01-01,FIREBALL CINNAMON WHISKEY,MARSHALLTOWN,MARSHALL,29.625,455.67
2012-01-01,FIREBALL CINNAMON WHISKEY,MILFORD,DICKINSON,3.0,49.5
2012-01-01,FIREBALL CINNAMON WHISKEY,MISSOURI VALLEY,HARRISON,2.25,38.97
2012-01-01,FIREBALL CINNAMON WHISKEY,MOUNT PLEASANT,HENRY,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,MUSCATINE,MUSCATINE,12.0,198.0
2012-01-01,FIREBALL CINNAMON WHISKEY,NEVADA,STORY,1.125,23.97
2012-01-01,FIREBALL CINNAMON WHISKEY,NEWTON,JASPER,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,NORWALK,WARREN,2.25,38.97
2012-01-01,FIREBALL CINNAMON WHISKEY,OELWEIN,FAYETTE,3.0,51.96
2012-01-01,FIREBALL CINNAMON WHISKEY,OSKALOOSA,MAHASKA,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,OTTUWMA,WAPELLO,2.25,38.97
2012-01-01,FIREBALL CINNAMON WHISKEY,PELLA,MARION,19.0,328.26
2012-01-01,FIREBALL CINNAMON WHISKEY,PLEASANT HILL,POLK,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,POCAHONTAS,POCAHONTAS,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,POLK CITY,POLK,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,RIVERSIDE,WASHINGTON,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,SAC CITY,SAC,9.75,160.43
2012-01-01,FIREBALL CINNAMON WHISKEY,SHELDON,O'BRIEN,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,SHENANDOAH,PAGE,2.25,38.97
2012-01-01,FIREBALL CINNAMON WHISKEY,SIBLEY,OSCEOLA,2.25,38.97
2012-01-01,FIREBALL CINNAMON WHISKEY,SPENCER,CLAY,0.75,12.99
2012-01-01,FIREBALL CINNAMON WHISKEY,SPIRIT LAKE,DICKINSON,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,STORM LAKE,BUENA VISTA,4.5,77.94
2012-01-01,FIREBALL CINNAMON WHISKEY,STRATFORD,HAMILTON,3.0,49.5
2012-01-01,FIREBALL CINNAMON WHISKEY,TOLEDO,TAMA,3.75,64.95
2012-01-01,FIREBALL CINNAMON WHISKEY,URBANDALE,POLK,11.25,194.85
2012-01-01,FIREBALL CINNAMON WHISKEY,WALNUT,POTTAWATTAMIE,9.0,155.88
2012-01-01,FIREBALL CINNAMON WHISKEY,WASHINGTON,WASHINGTON,18.0,307.9
2012-01-01,FIREBALL CINNAMON WHISKEY,WAUKEE,DALLAS,18.0,311.76
2012-01-01,FIREBALL CINNAMON WHISKEY,WAVERLY,BREMER,46.5,805.38
2012-01-01,FIREBALL CINNAMON WHISKEY,WEBSTER CITY,HAMILTON,13.75,237.33
2012-01-01,FIREBALL CINNAMON WHISKEY,WEST DES MOINES,POLK,73.875,1212.24
2012-01-01,FIREBALL CINNAMON WHISKEY,WINDSOR HEIGHTS,POLK,153.0,2531.88
2012-01-01,FIREBALL CINNAMON WHISKEY,WOODBINE,HARRISON,1.5,25.98
2012-01-01,FIREBALL CINNAMON WHISKEY DISPENSER,ANKENY,POLK,3.0,44.58
2012-01-01,FIREBALL CINNAMON WHISKEY DISPENSER,CEDAR RAPIDS,LINN,3.0,44.58
2012-01-01,FIREBALL CINNAMON WHISKEY DISPENSER,COUNCIL BLUFFS,POTTAWATTAMIE,3.0,44.58
2012-01-01,FIREBALL CINNAMON WHISKEY DISPENSER,DES MOINES,POLK,3.0,44.58
2012-01-01,FIREBALL CINNAMON WHISKEY DISPENSER,DUNLAP,HARRISON,3.0,44.58
2012-01-01,FIREBALL CINNAMON WHISKEY DISPENSER,PACIFIC JUNCTION,MILLS,3.0,44.58
2012-01-01,FIREBALL CINNAMON WHISKEY DISPENSER,SHELDON,O'BRIEN,3.0,44.58
2012-01-08,FIREBALL CINNAMON WHISKEY,ADAIR,ADAIR,9.0,155.88
2012-01-08,FIREBALL CINNAMON WHISKEY,ADEL,DALLAS,3.0,51.96
2012-01-08,FIREBALL CINNAMON WHISKEY,ALTOONA,POLK,10.5,119.94
2012-01-08,FIREBALL CINNAMON WHISKEY,AMES,STORY,23.75,410.24
2012-01-08,FIREBALL CINNAMON WHISKEY,ANAMOSA,JONES,3.0,49.5
2012-01-08,FIREBALL CINNAMON WHISKEY,ANKENY,POLK,27.0,467.64
2012-01-08,FIREBALL CINNAMON WHISKEY,AVOCA,POTTAWATTAMIE,2.0,33.0
2012-01-08,FIREBALL CINNAMON WHISKEY,CAMBRIDGE,STORY,3.0,51.96
2012-01-08,FIREBALL CINNAMON WHISKEY,CARROLL,CARROLL,11.75,192.37
2012-01-08,FIREBALL CINNAMON WHISKEY,CEDAR FALLS,BLACK HAWK,1.125,23.97
2012-01-08,FIREBALL CINNAMON WHISKEY,CEDAR RAPIDS,LINN,84.75,1424.65
2012-01-08,FIREBALL CINNAMON WHISKEY,CENTERVILLE,APPANOOSE,0.75,15.98
2012-01-08,FIREBALL CINNAMON WHISKEY,CLEAR LAKE,CERRO GORDO,5.0,82.5
2012-01-08,FIREBALL CINNAMON WHISKEY,CLINTON,CLINTON,65.25,813.68
2012-01-08,FIREBALL CINNAMON WHISKEY,CLIVE,POLK,9.0,155.88
2012-01-08,FIREBALL CINNAMON WHISKEY,CORALVILLE,JOHNSON,2.25,38.97
2012-01-08,FIREBALL CINNAMON WHISKEY,CORYDON,WAYNE,6.0,82.46
2012-01-08,FIREBALL CINNAMON WHISKEY,COUNCIL BLUFFS,POTTAWATTAMIE,118.5,1901.94
2012-01-08,FIREBALL CINNAMON WHISKEY,CRESCO,HOWARD,4.0,66.0
2012-01-08,FIREBALL CINNAMON WHISKEY,CRESTON,UNION,4.0,68.46
2012-01-08,FIREBALL CINNAMON WHISKEY,DAVENPORT,SCOTT,21.5,351.74
2012-01-08,FIREBALL CINNAMON WHISKEY,DAYTON,WEBSTER,3.0,49.5
2012-01-08,FIREBALL CINNAMON WHISKEY,DECORAH,WINNESHIEK,9.0,155.88
2012-01-08,FIREBALL CINNAMON WHISKEY,DES MOINES,POLK,529.125,8258.88
2012-01-08,FIREBALL CINNAMON WHISKEY,DUBUQUE,DUBUQUE,2.25,38.97
2012-01-08,FIREBALL CINNAMON WHISKEY,DUNLAP,HARRISON,0.75,15.98
2012-01-08,FIREBALL CINNAMON WHISKEY,DYERSVILLE,DUBUQUE,2.25,38.97
2012-01-08,FIREBALL CINNAMON WHISKEY,FAYETTE,FAYETTE,18.0,311.76
2012-01-08,FIREBALL CINNAMON WHISKEY,FOREST CITY,WINNEBAGO,12.0,198.0
2012-01-08,FIREBALL CINNAMON WHISKEY,FORT DODGE,WEBSTER,25.25,425.85
2012-01-08,FIREBALL CINNAMON WHISKEY,GLENWOOD,MILLS,4.5,77.94
2012-01-08,FIREBALL CINNAMON WHISKEY,GRIMES,POLK,10.125,179.85
2012-01-08,FIREBALL CINNAMON WHISKEY,GRINNELL,POWESHIEK,9.0,155.88
2012-01-08,FIREBALL CINNAMON WHISKEY,GRUNDY CENTER,GRUNDY,7.0,79.96
2012-01-08,FIREBALL CINNAMON WHISKEY,HARLAN,SHELBY,6.0,99.0
2012-01-08,FIREBALL CINNAMON WHISKEY,INDIANOLA,WARREN,24.375,403.99
2012-01-08,FIREBALL CINNAMON WHISKEY,IOWA CITY,JOHNSON,36.75,626.67
2012-01-08,FIREBALL CINNAMON WHISKEY,JOHNSTON,POLK,0.75,15.98
2012-01-08,FIREBALL CINNAMON WHISKEY,KEOKUK,LEE,15.0,249.96
2012-01-08,FIREBALL CINNAMON WHISKEY,LA PORTE CITY,BLACK HAWK,5.5,91.98
2012-01-08,FIREBALL CINNAMON WHISKEY,LANSING,ALLAMAKEE,1.0,16.5
2012-01-08,FIREBALL CINNAMON WHISKEY,LE CLAIRE,SCOTT,0.75,15.98
2012-01-08,FIREBALL CINNAMON WHISKEY,LE GRAND,MARSHALL,2.25,38.97
2012-01-08,FIREBALL CINNAMON WHISKEY,LEON,DECATUR,3.0,51.96
2012-01-08,FIREBALL CINNAMON WHISKEY,MAPLETON,MONONA,2.25,47.94
2012-01-08,FIREBALL CINNAMON WHISKEY,MAQUOKETA,JACKSON,6.75,111.99
2012-01-08,FIREBALL CINNAMON WHISKEY,MARSHALLTOWN,MARSHALL,45.0,779.4
2012-01-08,FIREBALL CINNAMON WHISKEY,MASON CITY,CERRO GORDO,56.625,869.49
2012-01-08,FIREBALL CINNAMON WHISKEY,MONONA,CLAYTON,1.0,16.5
2012-01-08,FIREBALL CINNAMON WHISKEY,MT VERNON,LINN,12.0,198.0
2012-01-08,FIREBALL CINNAMON WHISKEY,MUSCATINE,MUSCATINE,21.0,353.88
2012-01-08,FIREBALL CINNAMON WHISKEY,NEWTON,JASPER,5.0,82.5
2012-01-08,FIREBALL CINNAMON WHISKEY,NORTHWOOD,WORTH,2.25,38.97
2012-01-08,FIREBALL CINNAMON WHISKEY,NORWALK,WARREN,18.0,311.76
2012-01-08,FIREBALL CINNAMON WHISKEY,OELWEIN,FAYETTE,2.25,38.97
2012-01-08,FIREBALL CINNAMON WHISKEY,ONAWA,MONONA,0.75,12.99
2012-01-08,FIREBALL CINNAMON WHISKEY,OSAGE,MITCHELL,2.0,33.0
2012-01-08,FIREBALL CINNAMON WHISKEY,OTTUWMA,WAPELLO,1.0,16.5
2012-01-08,FIREBALL CINNAMON WHISKEY,PELLA,MARION,9.0,155.88
2012-01-08,FIREBALL CINNAMON WHISKEY,PERRY,DALLAS,2.25,38.97
2012-01-08,FIREBALL CINNAMON WHISKEY,PLEASANT HILL,POLK,19.5,275.82
2012-01-08,FIREBALL CINNAMON WHISKEY,POSTVILLE,ALLAMAKEE,1.125,23.97
2012-01-08,FIREBALL CINNAMON WHISKEY,REMSEN,PLYMOUTH,2.25,38.97
2012-01-08,FIREBALL CINNAMON WHISKEY,SAC CITY,SAC,4.0,66.0
2012-01-08,FIREBALL CINNAMON WHISKEY,SHELDON,O'BRIEN,13.125,175.87
2012-01-08,FIREBALL CINNAMON WHISKEY,SHELLSBURG,BENTON,1.0,16.5
2012-01-08,FIREBALL CINNAMON WHISKEY,SIOUX CITY,WOODBURY,66.0,1103.76
2012-01-08,FIREBALL CINNAMON WHISKEY,SPIRIT LAKE,DICKINSON,9.0,155.88
