weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,FIVE STAR,ALGONA,KOSSUTH,21.0,132.48
2012-01-01,FIVE STAR,AMES,STORY,47.75,324.02
2012-01-01,FIVE STAR,BEDFORD,TAYLOR,10.5,66.24
2012-01-01,FIVE STAR,BELLE PLAINE,BENTON,30.6,219.36
2012-01-01,FIVE STAR,BELLEVUE,JACKSON,10.5,66.24
2012-01-01,FIVE STAR,BETTENDORF,IOWA,9.0,60.24
2012-01-01,FIVE STAR,BETTENDORF,SCOTT,32.7,215.7
2012-01-01,FIVE STAR,BLUE GRASS,SCOTT,0.75,5.02
2012-01-01,FIVE STAR,BURLINGTON,DES MOINES,69.725,478.36
2012-01-01,FIVE STAR,CARROLL,CARROLL,22.5,142.52
2012-01-01,FIVE STAR,CEDAR FALLS,BLACK HAWK,123.0,805.92
2012-01-01,FIVE STAR,CEDAR RAPIDS,LINN,288.65,1939.29
2012-01-01,FIVE STAR,CLINTON,CLINTON,2.125,14.51
2012-01-01,FIVE STAR,CLIVE,POLK,24.75,159.6
2012-01-01,FIVE STAR,CORALVILLE,JOHNSON,4.75,35.95
2012-01-01,FIVE STAR,COUNCIL BLUFFS,POTTAWATTAMIE,101.2,696.65
2012-01-01,FIVE STAR,DAVENPORT,SCOTT,234.9,1657.69
2012-01-01,FIVE STAR,DENISON,CRAWFORD,10.5,66.24
2012-01-01,FIVE STAR,DES MOINES,POLK,149.575,1086.21
2012-01-01,FIVE STAR,DUBUQUE,DUBUQUE,42.05,299.17
2012-01-01,FIVE STAR,EAGLE GROVE,WRIGHT,2.25,15.06
2012-01-01,FIVE STAR,ELDORA,HARDIN,10.5,66.24
2012-01-01,FIVE STAR,EMMETSBURG,PALO ALTO,10.5,66.24
2012-01-01,FIVE STAR,EVANSDALE,BLACK HAWK,9.0,60.24
2012-01-01,FIVE STAR,FAIRFIELD,JEFFERSON,19.5,126.48
2012-01-01,FIVE STAR,FORT DODGE,WEBSTER,33.0,210.84
2012-01-01,FIVE STAR,FORT MADISON,LEE,22.8,148.77
2012-01-01,FIVE STAR,GRUNDY CENTER,GRUNDY,3.5,22.08
2012-01-01,FIVE STAR,HAMPTON,FRANKLIN,2.25,15.06
2012-01-01,FIVE STAR,HARLAN,SHELBY,5.25,34.65
2012-01-01,FIVE STAR,HUBBARD,HARDIN,3.5,22.08
2012-01-01,FIVE STAR,INDEPENDENCE,BUCHANAN,10.5,66.24
2012-01-01,FIVE STAR,IOWA CITY,JOHNSON,111.95,728.77
2012-01-01,FIVE STAR,JOHNSTON,POLK,3.0,20.08
2012-01-01,FIVE STAR,KEOKUK,LEE,28.5,197.52
2012-01-01,FIVE STAR,LAKE CITY,CALHOUN,12.0,78.36
2012-01-01,FIVE STAR,LE CLAIRE,SCOTT,1.75,11.04
2012-01-01,FIVE STAR,LOGAN,HARRISON,9.0,60.24
2012-01-01,FIVE STAR,MAQUOKETA,JACKSON,21.0,132.48
2012-01-01,FIVE STAR,MARION,LINN,27.4,184.18
2012-01-01,FIVE STAR,MARSHALLTOWN,MARSHALL,21.0,132.48
2012-01-01,FIVE STAR,MEDIAPOLIS,DES MOINES,5.25,33.12
2012-01-01,FIVE STAR,MILFORD,DICKINSON,43.5,277.08
2012-01-01,FIVE STAR,MONTEZUMA,POWESHIEK,2.25,15.06
2012-01-01,FIVE STAR,MONTICELLO,JONES,5.0,40.21
2012-01-01,FIVE STAR,MOUNT VERNON,LINN,9.0,60.24
2012-01-01,FIVE STAR,MT PLEASANT,HENRY,21.0,132.48
2012-01-01,FIVE STAR,MUSCATINE,MUSCATINE,32.0,205.78
2012-01-01,FIVE STAR,NEVADA,STORY,2.25,15.06
2012-01-01,FIVE STAR,NEWTON,JASPER,9.0,60.24
2012-01-01,FIVE STAR,NORTH ENGLISH,IOWA,5.25,33.12
2012-01-01,FIVE STAR,NORTH LIBERTY,IOWA,9.0,60.24
2012-01-01,FIVE STAR,NORTH LIBERTY,JOHNSON,7.125,51.74
2012-01-01,FIVE STAR,OELWEIN,FAYETTE,9.0,60.24
2012-01-01,FIVE STAR,OSKALOOSA,MAHASKA,10.5,66.24
2012-01-01,FIVE STAR,OTTUMWA,WAPELLO,11.25,75.3
2012-01-01,FIVE STAR,OTTUWMA,WAPELLO,22.875,147.56
2012-01-01,FIVE STAR,PLEASANT HILL,POLK,9.0,60.24
2012-01-01,FIVE STAR,RED OAK,MONTGOMERY,33.0,210.84
2012-01-01,FIVE STAR,SHELDON,O'BRIEN,9.0,60.24
2012-01-01,FIVE STAR,SIOUX CITY,WOODBURY,76.125,484.68
2012-01-01,FIVE STAR,SPIRIT LAKE,DICKINSON,9.0,71.04
2012-01-01,FIVE STAR,STATE CENTER,IOWA,1.875,13.9
2012-01-01,FIVE STAR,STUART,ADAIR,3.5,22.08
2012-01-01,FIVE STAR,TOLEDO,TAMA,21.0,132.48
2012-01-01,FIVE STAR,TRIPOLI,BREMER,10.5,66.24
2012-01-01,FIVE STAR,VINTON,BENTON,9.0,60.24
2012-01-01,FIVE STAR,WASHINGTON,WASHINGTON,19.5,126.47999999999999
2012-01-01,FIVE STAR,WATERLOO,BLACK HAWK,12.0,78.36
2012-01-01,FIVE STAR,WEBSTER CITY,HAMILTON,6.75,45.18
2012-01-01,FIVE STAR,WEST BRANCH,CEDAR,0.75,5.02
2012-01-01,FIVE STAR,WEST LIBERTY,MUSCATINE,1.75,11.04
2012-01-08,FIVE STAR,ALGONA,KOSSUTH,25.5,164.68
2012-01-08,FIVE STAR,ALTOONA,POLK,9.0,60.24
2012-01-08,FIVE STAR,AMES,STORY,41.5,267.02
2012-01-08,FIVE STAR,ANKENY,POLK,19.5,126.48
2012-01-08,FIVE STAR,ATLANTIC,CASS,4.5,30.12
2012-01-08,FIVE STAR,BELLE PLAINE,BENTON,32.25,227.4
2012-01-08,FIVE STAR,BETTENDORF,IOWA,10.5,66.24
2012-01-08,FIVE STAR,BETTENDORF,SCOTT,24.0,156.44
2012-01-08,FIVE STAR,BLOOMFIELD,DAVIS,9.0,60.24
2012-01-08,FIVE STAR,BLUE GRASS,SCOTT,1.75,11.04
2012-01-08,FIVE STAR,BURLINGTON,DES MOINES,64.875,453.14
2012-01-08,FIVE STAR,CARROLL,CARROLL,21.25,137.52
2012-01-08,FIVE STAR,CEDAR FALLS,BLACK HAWK,80.1,544.64
2012-01-08,FIVE STAR,CEDAR RAPIDS,LINN,325.225,2281.5800000000004
2012-01-08,FIVE STAR,CENTER POINT,LINN,3.0,20.08
2012-01-08,FIVE STAR,CHARITON,LUCAS,5.25,33.12
2012-01-08,FIVE STAR,CHARLES CITY,FLOYD,1.5,10.04
2012-01-08,FIVE STAR,CHEROKEE,CHEROKEE,10.5,66.24
2012-01-08,FIVE STAR,CLEAR LAKE,CERRO GORDO,2.25,15.06
2012-01-08,FIVE STAR,CLINTON,CLINTON,35.25,234.44
2012-01-08,FIVE STAR,CONRAD,GRUNDY,1.5,11.84
2012-01-08,FIVE STAR,CORALVILLE,JOHNSON,15.5,103.41999999999999
2012-01-08,FIVE STAR,COUNCIL BLUFFS,POTTAWATTAMIE,79.2,583.22
2012-01-08,FIVE STAR,CRESCO,HOWARD,10.5,66.24
2012-01-08,FIVE STAR,CRESTON,UNION,10.5,66.24
2012-01-08,FIVE STAR,DAVENPORT,SCOTT,251.4,1736.06
2012-01-08,FIVE STAR,DECORAH,WINNESHIEK,2.0,13.06
2012-01-08,FIVE STAR,DES MOINES,POLK,177.475,1229.22
2012-01-08,FIVE STAR,DEWITT,CLINTON,10.5,66.24
2012-01-08,FIVE STAR,DUBUQUE,DUBUQUE,71.1,455.56
2012-01-08,FIVE STAR,DURANT,CEDAR,6.75,43.16
2012-01-08,FIVE STAR,EDGEWOOD,CLAYTON,7.0,44.16
2012-01-08,FIVE STAR,EMMETSBURG,PALO ALTO,3.5,22.08
2012-01-08,FIVE STAR,ESTHERVILLE,EMMET,21.0,132.48
2012-01-08,FIVE STAR,EVANSDALE,BLACK HAWK,32.1,231.48
2012-01-08,FIVE STAR,FORT DODGE,WEBSTER,40.5,275.88
2012-01-08,FIVE STAR,FORT MADISON,LEE,19.5,126.48
2012-01-08,FIVE STAR,GEORGE,LYON,5.25,33.12
2012-01-08,FIVE STAR,GLENWOOD,MILLS,12.0,78.36
2012-01-08,FIVE STAR,GOWRIE,WEBSTER,12.75,81.3
2012-01-08,FIVE STAR,GRIMES,POLK,10.9,69.86
2012-01-08,FIVE STAR,GRUNDY CENTER,GRUNDY,22.5,144.6
