weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,JACK DANIELS BLACK LABEL,AMES,STORY,0.4,9.08
2012-01-01,JACK DANIELS BLACK LABEL,CARROLL,CARROLL,5.5,124.85
2012-01-01,JACK DANIELS BLACK LABEL,CEDAR RAPIDS,LINN,1.5,34.05
2012-01-01,JACK DANIELS BLACK LABEL,CORALVILLE,JOHNSON,0.2,4.54
2012-01-01,JACK DANIELS BLACK LABEL,COUNCIL BLUFFS,POTTAWATTAMIE,1.8,40.86
2012-01-01,JACK DANIELS BLACK LABEL,DAVENPORT,SCOTT,0.1,2.27
2012-01-01,JACK DANIELS BLACK LABEL,DES MOINES,POLK,2.0,45.4
2012-01-01,JACK DANIELS BLACK LABEL,IOWA CITY,JOHNSON,1.0,22.7
2012-01-01,JACK DANIELS BLACK LABEL,MUSCATINE,MUSCATINE,0.6,13.62
2012-01-01,JACK DANIELS BLACK LABEL,NEWTON,JASPER,1.3,29.51
2012-01-01,JACK DANIELS BLACK LABEL,OTTUMWA,WAPELLO,0.2,4.54
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ADAIR,ADAIR,0.5,12.94
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,AFTON,UNION,9.0,234.12
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ALBIA,MONROE,1.0,25.88
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ALGONA,KOSSUTH,12.0,295.68
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ALLISON,BUTLER,9.0,234.12
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ALTOONA,POLK,10.5,240.06
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,AMES,STORY,28.5,697.26
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ANAMOSA,JONES,25.5,642.87
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ANITA,CASS,4.0,98.56
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ANKENY,POLK,22.5,567.96
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ARMSTRONG,EMMET,5.75,138.57
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,ATLANTIC,CASS,6.4,163.17
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,BANCROFT,KOSSUTH,12.575,310.31
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,BELLE PLAINE,BENTON,10.5,240.06
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,BELLEVUE,JACKSON,21.0,513.84
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,BELMOND,WRIGHT,12.0,295.68
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,BETTENDORF,SCOTT,296.95,7408.01
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,BLUE GRASS,SCOTT,2.0,49.28
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,BURLINGTON,DES MOINES,24.05,606.5000000000001
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,CARROLL,CARROLL,32.5,794.5
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,CASCADE,DUBUQUE,21.0,529.8
2012-01-01,JACK DANIELS OLD #7 BLACK LBL,CEDAR FALLS,BLACK HAWK,98.1,2452.62
