weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,JAGERMEISTER LIQUEUR,ALBIA,MONROE,12.0,268.68
2012-01-01,JAGERMEISTER LIQUEUR,ALGONA,KOSSUTH,34.5,768.54
2012-01-01,JAGERMEISTER LIQUEUR,ALTOONA,POLK,2.25,52.11
2012-01-01,JAGERMEISTER LIQUEUR,AMES,STORY,80.925,1909.74
2012-01-01,JAGERMEISTER LIQUEUR,ANAMOSA,JONES,13.5,303.42
2012-01-01,JAGERMEISTER LIQUEUR,ANKENY,POLK,5.525,168.07
2012-01-01,JAGERMEISTER LIQUEUR,ATLANTIC,CASS,21.0,477.12
2012-01-01,JAGERMEISTER LIQUEUR,AVOCA,POTTAWATTAMIE,12.0,268.68
2012-01-01,JAGERMEISTER LIQUEUR,BANCROFT,KOSSUTH,0.4,10.4
2012-01-01,JAGERMEISTER LIQUEUR,BELLE PLAINE,BENTON,16.0,358.24
2012-01-01,JAGERMEISTER LIQUEUR,BELLEVUE,JACKSON,13.5,306.04
2012-01-01,JAGERMEISTER LIQUEUR,BETTENDORF,SCOTT,151.2,3427.83
2012-01-01,JAGERMEISTER LIQUEUR,BLUE GRASS,SCOTT,0.375,9.34
2012-01-01,JAGERMEISTER LIQUEUR,BROOKLYN,POWESHIEK,1.125,28.02
2012-01-01,JAGERMEISTER LIQUEUR,BURLINGTON,DES MOINES,16.2,397.63
2012-01-01,JAGERMEISTER LIQUEUR,CAMANCHE,CLINTON,12.0,268.68
2012-01-01,JAGERMEISTER LIQUEUR,CARROLL,CARROLL,4.15,124.18
2012-01-01,JAGERMEISTER LIQUEUR,CEDAR FALLS,BLACK HAWK,51.45,1161.96
2012-01-01,JAGERMEISTER LIQUEUR,CEDAR RAPIDS,LINN,146.05,3364.94
2012-01-01,JAGERMEISTER LIQUEUR,CENTERVILLE,APPANOOSE,13.125,296.7
2012-01-01,JAGERMEISTER LIQUEUR,CLARINDA,PAGE,4.5,104.53
2012-01-01,JAGERMEISTER LIQUEUR,CLARION,WRIGHT,2.0,44.78
2012-01-01,JAGERMEISTER LIQUEUR,CLEAR LAKE,CERRO GORDO,15.0,338.16
2012-01-01,JAGERMEISTER LIQUEUR,CLINTON,CLINTON,66.75,1507.52
2012-01-01,JAGERMEISTER LIQUEUR,CLIVE,POLK,29.25,712.8
2012-01-01,JAGERMEISTER LIQUEUR,COLUMBUS JUNCTION,LOUISA,1.125,28.02
2012-01-01,JAGERMEISTER LIQUEUR,CORALVILLE,JOHNSON,2.85,70.33
2012-01-01,JAGERMEISTER LIQUEUR,CORNING,ADAMS,0.6,15.6
2012-01-01,JAGERMEISTER LIQUEUR,CORNING,CLAYTON,2.25,52.11
2012-01-01,JAGERMEISTER LIQUEUR,CORYDON,WAYNE,1.5,37.36
2012-01-01,JAGERMEISTER LIQUEUR,COUNCIL BLUFFS,POTTAWATTAMIE,216.95,5015.23
2012-01-01,JAGERMEISTER LIQUEUR,DAVENPORT,SCOTT,191.54999999999998,4381.75
2012-01-01,JAGERMEISTER LIQUEUR,DES MOINES,POLK,398.1,9231.07
2012-01-01,JAGERMEISTER LIQUEUR,DEWITT,CLINTON,9.0,208.44
2012-01-01,JAGERMEISTER LIQUEUR,DUBUQUE,DUBUQUE,119.35,2745.43
2012-01-01,JAGERMEISTER LIQUEUR,DUMONT,BUTLER,7.05,215.04
2012-01-01,JAGERMEISTER LIQUEUR,ELDRIDGE,SCOTT,2.0,44.78
2012-01-01,JAGERMEISTER LIQUEUR,EMMETSBURG,PALO ALTO,14.25,320.79
