weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,JIM BEAM,ALDEN,HARDIN,6.0,103.86
2012-01-01,JIM BEAM,ALGONA,KOSSUTH,1.5,27.2
2012-01-01,JIM BEAM,ALTOONA,POLK,25.25,430.90000000000003
2012-01-01,JIM BEAM,AMES,STORY,23.125,389.8
2012-01-01,JIM BEAM,ANAMOSA,JONES,0.75,13.6
2012-01-01,JIM BEAM,ANKENY,POLK,16.0,304.28
2012-01-01,JIM BEAM,ARNOLDS PARK,DICKINSON,3.0,53.64
2012-01-01,JIM BEAM,BETTENDORF,SCOTT,30.375,536.18
2012-01-01,JIM BEAM,BLUE GRASS,SCOTT,4.5,75.58
2012-01-01,JIM BEAM,BRITT,HANCOCK,2.25,40.23
2012-01-01,JIM BEAM,BURLINGTON,DES MOINES,23.5,389.5
2012-01-01,JIM BEAM,CAMANCHE,CLINTON,12.0,207.72
2012-01-01,JIM BEAM,CARROLL,CARROLL,37.75,617.0699999999999
2012-01-01,JIM BEAM,CASEY,GUTHRIE,0.375,6.8
2012-01-01,JIM BEAM,CEDAR FALLS,BLACK HAWK,22.5,373.02
2012-01-01,JIM BEAM,CEDAR RAPIDS,LINN,66.25,1143.23
2012-01-01,JIM BEAM,CENTERVILLE,APPANOOSE,14.625,254.94
2012-01-01,JIM BEAM,CLARINDA,PAGE,2.25,40.23
2012-01-01,JIM BEAM,CLARION,WRIGHT,21.0,368.64
2012-01-01,JIM BEAM,CLARKSVILLE,BUTLER,12.0,207.72
2012-01-01,JIM BEAM,CLEAR LAKE,CERRO GORDO,16.0,273.06
2012-01-01,JIM BEAM,CLINTON,CLINTON,211.825,3416.85
2012-01-01,JIM BEAM,CLIVE,POLK,3.0,53.64
2012-01-01,JIM BEAM,CONRAD,GRUNDY,10.5,165.3
2012-01-01,JIM BEAM,CORALVILLE,JOHNSON,2.65,48.98
2012-01-01,JIM BEAM,CORNING,ADAMS,11.1,178.14
2012-01-01,JIM BEAM,CORNING,CLAYTON,1.5,26.82
2012-01-01,JIM BEAM,CORYDON,WAYNE,3.75,62.17
2012-01-01,JIM BEAM,COUNCIL BLUFFS,POTTAWATTAMIE,94.0,1621.8
2012-01-01,JIM BEAM,DAVENPORT,SCOTT,118.85,1985.39
2012-01-01,JIM BEAM,DAYTON,WEBSTER,1.5,26.82
2012-01-01,JIM BEAM,DE SOTO,DALLAS,1.875,34.0
2012-01-01,JIM BEAM,DENVER,BREMER,10.5,165.3
2012-01-01,JIM BEAM,DES MOINES,POLK,339.85,6006.92
2012-01-01,JIM BEAM,DEWITT,CLINTON,96.0,1626.72
2012-01-01,JIM BEAM,DUBUQUE,DUBUQUE,84.625,1506.81
2012-01-01,JIM BEAM,DURANT,CEDAR,1.0,17.31
2012-01-01,JIM BEAM,EAGLE GROVE,WRIGHT,3.5,55.1
2012-01-01,JIM BEAM,ELDORA,HARDIN,2.25,40.23
2012-01-01,JIM BEAM,EMMETSBURG,PALO ALTO,5.0,86.55
2012-01-01,JIM BEAM,ESTHERVILLE,EMMET,3.0,54.4
2012-01-01,JIM BEAM,EVANSDALE,BLACK HAWK,12.0,192.12
2012-01-01,JIM BEAM,FAIRFIELD,JEFFERSON,9.75,174.52
2012-01-01,JIM BEAM,FARMINGTON,VAN BUREN,9.0,160.92
2012-01-01,JIM BEAM,FOREST CITY,WINNEBAGO,24.75,413.82
2012-01-01,JIM BEAM,FORT DODGE,WEBSTER,42.75,697.05
2012-01-01,JIM BEAM,FORT MADISON,LEE,7.25,131.5
2012-01-01,JIM BEAM,GLADBROOK,IOWA,9.0,160.92
2012-01-01,JIM BEAM,GREENFIELD,ADAIR,19.5,326.22
2012-01-01,JIM BEAM,GRIMES,POLK,3.0,55.099999999999994
2012-01-01,JIM BEAM,GRINNELL,POWESHIEK,21.6,343.44
2012-01-01,JIM BEAM,HARLAN,SHELBY,14.375,251.96
2012-01-01,JIM BEAM,HIAWATHA,LINN,4.5,80.46
2012-01-01,JIM BEAM,HOLSTEIN,IDA,13.5,218.94
2012-01-01,JIM BEAM,INDEPENDENCE,BUCHANAN,9.0,160.92
2012-01-01,JIM BEAM,INDIANOLA,WARREN,15.9,278.45
2012-01-01,JIM BEAM,IOWA CITY,JOHNSON,26.5,493.32
2012-01-01,JIM BEAM,JOHNSTON,POLK,1.875,33.62
2012-01-01,JIM BEAM,KELLOG,JASPER,0.5,10.24
2012-01-01,JIM BEAM,KEOKUK,LEE,22.5,373.02
2012-01-01,JIM BEAM,KNOXVILLE,MARION,2.0,37.06
2012-01-01,JIM BEAM,LAKE CITY,CALHOUN,1.75,27.55
2012-01-01,JIM BEAM,LARCHWOOD,LYON,10.5,165.3
2012-01-01,JIM BEAM,LE CLAIRE,SCOTT,1.5,26.82
2012-01-01,JIM BEAM,MAQUOKETA,JACKSON,15.25,262.09000000000003
2012-01-01,JIM BEAM,MARION,LINN,17.975,331.02
2012-01-01,JIM BEAM,MARSHALLTOWN,MARSHALL,21.825,372.3
2012-01-01,JIM BEAM,MEDIAPOLIS,DES MOINES,2.0,34.62
2012-01-01,JIM BEAM,MELCHER-DALLAS,MARION,3.0,54.4
2012-01-01,JIM BEAM,MILFORD,DICKINSON,21.75,382.24
2012-01-01,JIM BEAM,MISSOURI VALLEY,HARRISON,3.5,55.1
2012-01-01,JIM BEAM,MONTICELLO,JONES,8.5,147.99
2012-01-01,JIM BEAM,MORAVIA,APPANOOSE,12.0,207.72
2012-01-01,JIM BEAM,MOUNT VERNON,LINN,9.0,160.92
2012-01-01,JIM BEAM,MT PLEASANT,HENRY,9.0,160.92
2012-01-01,JIM BEAM,MUSCATINE,MUSCATINE,6.8,124.4
2012-01-01,JIM BEAM,NEVADA,STORY,2.75,51.04
2012-01-01,JIM BEAM,NEWTON,JASPER,9.8,178.04
