weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,MCCORMICK GIN,CLEAR LAKE,CERRO GORDO,2.0,12.0
2012-01-01,MCCORMICK GIN,CORALVILLE,JOHNSON,10.5,65.7
2012-01-01,MCCORMICK GIN,DAVENPORT,SCOTT,10.5,65.7
2012-01-01,MCCORMICK GIN,DES MOINES,POLK,12.0,72.0
2012-01-01,MCCORMICK GIN,DUBUQUE,DUBUQUE,10.5,65.7
2012-01-01,MCCORMICK GIN,NEVADA,STORY,1.75,10.95
2012-01-01,MCCORMICK VODKA,CARROLL,CARROLL,1.0,10.5
2012-01-01,MCCORMICK VODKA,CLINTON,CLINTON,1.0,10.5
2012-01-01,MCCORMICK VODKA,CORALVILLE,JOHNSON,0.5,5.25
2012-01-01,MCCORMICK VODKA,SAC CITY,SAC,1.0,10.5
2012-01-01,MCCORMICK'S IRISH CREAM,AMES,STORY,3.0,38.36
2012-01-01,MCCORMICK'S IRISH CREAM,BANCROFT,KOSSUTH,0.75,9.59
2012-01-01,MCCORMICK'S IRISH CREAM,CEDAR RAPIDS,LINN,2.25,28.77
2012-01-01,MCCORMICK'S IRISH CREAM,CLARION,WRIGHT,1.5,19.18
2012-01-01,MCCORMICK'S IRISH CREAM,DAVENPORT,SCOTT,23.25,297.29
2012-01-01,MCCORMICK'S IRISH CREAM,DES MOINES,POLK,13.5,172.62
2012-01-01,MCCORMICK'S IRISH CREAM,DUBUQUE,DUBUQUE,3.0,38.36
2012-01-01,MCCORMICK'S IRISH CREAM,DURANT,CEDAR,1.5,19.18
2012-01-01,MCCORMICK'S IRISH CREAM,ELDORA,HARDIN,3.0,38.36
2012-01-01,MCCORMICK'S IRISH CREAM,FORT DODGE,WEBSTER,9.0,115.08
2012-01-01,MCCORMICK'S IRISH CREAM,INDIANOLA,WARREN,0.75,9.59
2012-01-01,MCCORMICK'S IRISH CREAM,JOHNSTON,POLK,0.75,9.59
2012-01-01,MCCORMICK'S IRISH CREAM,OTTUWMA,WAPELLO,1.5,19.18
2012-01-01,MCCORMICK'S IRISH CREAM,SHELDON,O'BRIEN,2.25,28.77
2012-01-01,MCCORMICK'S IRISH CREAM,SPENCER,CLAY,3.75,47.95
2012-01-01,MCCORMICK'S IRISH CREAM,URBANDALE,POLK,2.25,28.77
2012-01-01,MCCORMICK'S IRISH CREAM,WASHINGTON,WASHINGTON,2.25,28.77
2012-01-01,MCCORMICK'S IRISH CREAM,WILTON,MUSCATINE,0.75,9.59
2012-01-08,MCCORMICK GIN,AMES,STORY,14.0,87.6
2012-01-08,MCCORMICK GIN,CLEAR LAKE,CERRO GORDO,12.0,72.0
2012-01-08,MCCORMICK GIN,CLIVE,POLK,10.5,65.7
2012-01-08,MCCORMICK GIN,CORALVILLE,JOHNSON,12.0,72.0
2012-01-08,MCCORMICK GIN,COUNCIL BLUFFS,POTTAWATTAMIE,10.5,65.7
2012-01-08,MCCORMICK GIN,DAVENPORT,SCOTT,10.5,65.7
2012-01-08,MCCORMICK GIN,DES MOINES,POLK,47.0,287.4
2012-01-08,MCCORMICK GIN,DUBUQUE,DUBUQUE,35.5,221.1
2012-01-08,MCCORMICK GIN,IOWA CITY,JOHNSON,12.0,72.0
2012-01-08,MCCORMICK GIN,MARSHALLTOWN,MARSHALL,12.0,72.0
2012-01-08,MCCORMICK GIN,WATERLOO,BLACK HAWK,22.5,137.7
2012-01-08,MCCORMICK GIN,WEST DES MOINES,POLK,10.5,65.7
2012-01-08,MCCORMICK IRISH CREAM W 2 GLASSES,MASON CITY,CERRO GORDO,2.25,33.0
2012-01-08,MCCORMICK VODKA,CLINTON,CLINTON,2.0,21.0
2012-01-08,MCCORMICK VODKA,DAVENPORT,SCOTT,1.0,10.5
2012-01-08,MCCORMICK VODKA,DES MOINES,POLK,1.0,10.5
2012-01-08,MCCORMICK VODKA,MAQUOKETA,JACKSON,0.5,5.25
2012-01-08,MCCORMICK VODKA,SHELDON,O'BRIEN,0.5,5.25
2012-01-08,MCCORMICK VODKA,WATERLOO,BLACK HAWK,1.5,15.75
2012-01-08,MCCORMICK'S IRISH CREAM,ALTOONA,POLK,2.25,28.77
2012-01-08,MCCORMICK'S IRISH CREAM,AMES,STORY,2.25,28.77
2012-01-08,MCCORMICK'S IRISH CREAM,ANKENY,POLK,3.0,38.36
2012-01-08,MCCORMICK'S IRISH CREAM,BANCROFT,KOSSUTH,0.75,9.59
2012-01-08,MCCORMICK'S IRISH CREAM,CARROLL,CARROLL,1.5,19.18
2012-01-08,MCCORMICK'S IRISH CREAM,CEDAR RAPIDS,LINN,10.5,134.26
2012-01-08,MCCORMICK'S IRISH CREAM,CLARION,WRIGHT,1.5,19.18
2012-01-08,MCCORMICK'S IRISH CREAM,HAMPTON,FRANKLIN,3.0,38.36
