weekStarting,item,store_location_city,county,sum_sale_liters,sum_sale_dollars
2012-01-01,PHILLIPS BLACK HERBAL SCHNAPPS,COUNCIL BLUFFS,POTTAWATTAMIE,9.0,124.92
2012-01-01,PHILLIPS BLACK HERBAL SCHNAPPS,MAQUOKETA,JACKSON,0.75,10.41
2012-01-01,PHILLIPS BLACKBERRY FLAV BRANDY,CEDAR RAPIDS,LINN,3.0,28.52
2012-01-01,PHILLIPS BLACKBERRY FLAV BRANDY,DAVENPORT,SCOTT,2.25,21.39
2012-01-01,PHILLIPS BLACKBERRY FLAV BRANDY,DES MOINES,POLK,9.0,85.56
2012-01-01,PHILLIPS BLACKBERRY FLAV BRANDY,DUBUQUE,DUBUQUE,3.0,28.52
2012-01-01,PHILLIPS BLACKBERRY FLAV BRANDY,FOREST CITY,WINNEBAGO,9.0,85.56
2012-01-01,PHILLIPS BLACKBERRY FLAV BRANDY,LAKE PARK,DICKINSON,4.5,42.78
2012-01-01,PHILLIPS BLACKBERRY FLAV BRANDY,TOLEDO,TAMA,0.75,7.13
2012-01-01,PHILLIPS GIN,ALTOONA,POLK,2.0,12.2
2012-01-01,PHILLIPS GIN,BETTENDORF,SCOTT,12.0,73.2
2012-01-01,PHILLIPS GIN,CEDAR RAPIDS,LINN,10.5,70.14
2012-01-01,PHILLIPS GIN,DENISON,CRAWFORD,10.5,70.14
2012-01-01,PHILLIPS GIN,DES MOINES,POLK,84.0,512.4
2012-01-01,PHILLIPS GIN,IOWA CITY,JOHNSON,22.5,143.34
2012-01-01,PHILLIPS GIN,MONTICELLO,JONES,1.0,6.1
2012-01-01,PHILLIPS GIN,OTTUWMA,WAPELLO,1.0,6.1
2012-01-01,PHILLIPS GIN,SHELDON,O'BRIEN,10.5,70.14
2012-01-01,PHILLIPS GIN,WEST DES MOINES,POLK,22.5,143.34
2012-01-01,PHILLIPS GIN,WINDSOR HEIGHTS,POLK,12.0,73.2
2012-01-01,PHILLIPS HOT CINNAMON SCHNAPPS,AMES,STORY,3.75,52.05
2012-01-01,PHILLIPS HOT CINNAMON SCHNAPPS,CEDAR FALLS,BLACK HAWK,9.0,124.92
2012-01-01,PHILLIPS HOT CINNAMON SCHNAPPS,CORALVILLE,JOHNSON,0.75,10.41
2012-01-01,PHILLIPS HOT CINNAMON SCHNAPPS,DAVENPORT,SCOTT,1.5,20.82
2012-01-01,PHILLIPS HOT CINNAMON SCHNAPPS,DES MOINES,POLK,2.25,31.23
2012-01-01,PHILLIPS HOT CINNAMON SCHNAPPS,SHELDON,O'BRIEN,3.0,41.64
2012-01-01,PHILLIPS HOT CINNAMON SCHNAPPS,SPIRIT LAKE,DICKINSON,9.0,124.92
2012-01-01,PHILLIPS LIME FLAVORED VODKA,BURLINGTON,DES MOINES,4.0,34.68
2012-01-01,PHILLIPS LIME FLAVORED VODKA,ESTHERVILLE,EMMET,3.0,26.01
2012-01-01,PHILLIPS LIME FLAVORED VODKA,ROCK VALLEY,SIOUX,2.0,17.34
2012-01-01,PHILLIPS LIME FLAVORED VODKA,SIBLEY,OSCEOLA,6.0,52.02
