tweet,date,weekStarting
Summer is heating up! Check out how Lynda kept her cool with #SeagramsGin behind the scenes in Miami.,2015-05-27,2015-05-24
Cheers to Lynda for living it up with us this May! Check in tomorrow when we reveal our #LadyOfSG for June.,2015-05-31,2015-05-31
".@KamilahRhasaan from Atlanta, GA is our #LadyOfSG for the month of June!",2015-06-01,2015-05-31
.@kamilahrhasaan has nothing but love for #SeagramsGin and her fellow #LadiesOfSG.,2015-06-24,2015-06-21
Cheers to @kamilahrhasaan for representing #SeagramsGin this June! #LadiesOfSG,2015-06-30,2015-06-28
"Tayloranne Simmons-Brown from New Orleans, LA is our #LadyOfSG for the month of July!",2015-07-01,2015-06-28
"Naygil Marquez from Richmond, VA is our #LadyofSG for the month of August!",2015-08-03,2015-08-02
Reach for something smooth. #onatuesday #seagramsgin,2015-09-01,2015-08-30
"Dallas, TX is hot. But September's #ladyofsg Kimberly Kelly is fire. #seagramsgin",2015-09-02,2015-08-30
Congrats on the album drop @KCAMP427. Let's get this #ldw started! #OnlyWayIsUp,2015-09-04,2015-08-30
"For better weekends, just add good friends and your favorite flavored #seagramsgin. #laborday2015 #dearsummer",2015-09-04,2015-08-30
Helping you make memories since 1939. #seagramsgin #laborday2015 #dearsummer,2015-09-07,2015-09-06
Because real ballers know that beer for Thursday night kickoff isn't an option. #seagramsgin #football,2015-09-10,2015-09-06
There's the wrong way to tailgate. And there's the right way. Choose wisely. #seagramsgin #tailgate #gameday,2015-09-13,2015-09-13
@Slapdash101 All great evenings should start with Seagram's Gin. Cheers!,2015-09-15,2015-09-13
Introducing Seagram's Gin +1 ingredient. What's your #plusone? #seagramsgin,2015-09-15,2015-09-13
Thanks for welcoming us to #TheClubHouse. Shout-out to @vicesports @carmeloanthony &amp; guests at Monday night's launch.,2015-09-16,2015-09-13
Cheers to good times and great taste.,2015-09-16,2015-09-13
We'll bring the flavor. You just need to show up. See you Saturday.,2015-09-17,2015-09-13
@FoodBevAwards We're humbled you thought of us. Cheers!,2015-09-17,2015-09-13
When late summer days turn into later summer nights. #weouthere #seagramsgin,2015-09-19,2015-09-13
A drink fit for a baller like Lucious - The Melon Baller made with Melon Twisted Gin + lemon-lime soda #ginpire,2015-09-23,2015-09-20
@mbradleymc Clearly you have great taste.,2015-09-23,2015-09-20
Always in season. #seagramsgin #fall,2015-09-23,2015-09-20
Forever fly. Always has been. And always will be. #tbt #seagramsgin,2015-09-24,2015-09-20
It'd be scandalous if you didn't have a drink ready for tonight's premiere. Taste Redemp-gin w/Red Berry Twisted Gin + lemon-lime soda #tgit,2015-09-24,2015-09-20
