tweet,date,weekStarting
"Even if you made bad choices on your #bracket, make good choices at the games this week. #DrinkResponsibly",2015-03-28,2015-03-22
Need a break from #AprilFools Day #pranks? Here’s a tiny new #EasyDrink you really can enjoy. #TinyMartini,2015-04-01,2015-03-29
Kick off the biggest #brunch weekend with good drinks and good food. Pics or it didn’t happen. #Yum #NoFilter,2015-04-02,2015-03-29
Your #bracket may be busted but you can still watch the last #four teams and enjoy a delicious drink.,2015-04-02,2015-03-29
"Watermelon Mimosa is back, now you can share a juicy drink while you share your juicy details at #Sunday #brunch.",2015-04-03,2015-03-29
Raise a classic drink to Madison Ave’s best #AdMan. #Premiere,2015-04-06,2015-04-05
"Rule your weekend with the Beyond the Wallbanger of House Smirnoff, Commander of Cocktails, the first of its name.",2015-04-10,2015-04-05
"Whether you’re at the #festival or livestreaming from home, The Desert Sunrise is a #CrowdPleaser. #Weekend1 #Indio",2015-04-10,2015-04-05
#TaxDay getting too taxing? Here are three #EasyDrinks that always stack up nicely. #April15,2015-04-15,2015-04-12
(DRUMROLL) And the Smirnoff ICE Drink Time Achievement Award goes to… #CountryMusic #Awards,2015-04-17,2015-04-12
The Raspberry Buzzer Beater is the easiest way to #win the #basketball #playoffs without ever getting in the game.,2015-04-18,2015-04-12
#Spring is in full bloom. You can mix this #EasyDrink out on the patio or as you tip-toe through the tulips.,2015-04-21,2015-04-19
"Rain or shine, take the party outside with a Spring punch that’s way easier than #Spring weather. #AprilShowers",2015-04-23,2015-04-19
You don’t have to be a jockey to win the #Derby. All you need are fancy hats &amp; a #Kentucky Mint Mulep. #HorseRacing,2015-04-29,2015-04-26
The delicious Strawberry Vodkarita. Just like #piñatas some #CincoDeMayo traditions were meant to be broken. #fiesta,2015-05-01,2015-04-26
Toast the #FightOfTheCentury with a one-two punch.,2015-05-02,2015-04-26
??? These ARE the drinks you're looking for. #MayThe4th #TheForce,2015-05-04,2015-05-03
Get #Mom something that sparkles this #MothersDay like the all-new Smirnoff ICE SPARKLING PINK GRAPEFRUIT.,2015-05-08,2015-05-03
Say Happy #MothersDay with a round of brunch cocktails that are easy to make &amp; way more delicious than a phone call.,2015-05-08,2015-05-03
"For the vodka that invented the Moscow Mule, we don't look a day over 60. #HowOld #Smirnoff",2015-05-11,2015-05-10
#OpeningDay already opened but you can open a Smirnoff ICE All Season All-Star all #baseball season long.,2015-05-12,2015-05-10
"Punch with friends, punch with neighbors, punch with watermelons – make delicious #Punch4Everybody this summer.",2015-05-16,2015-05-10
Watch the #finale with a delicious drink that harkens back to an earlier time. #AdMen #Advertising #MadisonAve,2015-05-17,2015-05-17
Enjoy the unofficial start of Summer with the official start of Summer punches &amp; #Punch4Everybody this #MemorialDay.,2015-05-20,2015-05-17
"Spend #MemorialDay at the beach mixing up an Ocean Breeze Punch, just be sure to wear sunscreen. #Punch4Everybody",2015-05-21,2015-05-17
Mix up a Berry Picnic Punch this #MemorialDay with a little help from your friends. #Punch4Everybody,2015-05-21,2015-05-17
Soaking up some sun on #MemorialDay? Smirnoff ICE Watermelon Mimosa pairs perfectly with both hot dogs &amp; #hotdoglegs.,2015-05-22,2015-05-17
RT @nandita: Mixed Berry Vodka Punch for Memorial Day. @SmirnoffUS #Punch4Everybody!,2015-05-24,2015-05-24
"#MySummerIn5Words Punch. Punch. Punch. Punch. Turtlenecks. Just kidding, Punch. #Punch4Everybody",2015-05-27,2015-05-24
"The key to a great night? Spacing your drinks out with something clean, clear and on the house. #DrinkResponsibly",2015-05-28,2015-05-24
"#IrelandSaidYes, now say I do and raise a glass to #marriage #equality. #Pride4Everybody",2015-05-29,2015-05-24
RT @sarahhearts: Kick off summer w/ @SmirnoffUS watermelon mint aqua fresca! #sarahhearts #Punch4Everybody #ad,2015-06-04,2015-05-31
Meet the old fashioned way this #Pride. By bumping into someone with a tasty drink. #Pride4Everybody,2015-06-04,2015-05-31
#Wedding planning just got a little easier with these simple #his &amp; #hers punches for hims &amp; hers. #Punch4Everybody,2015-06-06,2015-05-31
RT @sarahhearts: A punch version of a summer time dessert w/ @SmirnoffUS,2015-06-09,2015-06-07
The Equalitea is a delicious #wedding #Punch4Everybody that even the pickiest Groomzillas will love. #Pride4Everybody,2015-06-10,2015-06-07
RT @ClosetTweets: New summer punch recipe on the blog feat @smirnoffUS #ad #Punch4Everybody #Pride4Everybody --&gt;,2015-06-11,2015-06-07
"Look delicious on a parade float, or drink a delicious Rainbow Float? How do you show your #Pride? #Pride4Everybody",2015-06-13,2015-06-07
Wish #Dad a #HappyFathersDay with a good old fashioned kind of drink fashioned just the way he’d fashion it himself.,2015-06-18,2015-06-14
RT @nandita: New! Strawberry Lemon Vodka Punch w/ @SmirnoffUS,2015-06-19,2015-06-14
RT @grandbabycake: Delicious @SmirnoffUS Berry Rhubarb Punch! Get the recipe now!  #Pride4Everybody #ad,2015-06-19,2015-06-14
Take on the summer heat with your gals while your team takes on the world. #Soccer #Futbol #SmirnoffICE,2015-06-22,2015-06-21
"Guys, ladies, guys who like guys, ladies who like ladies - everybody likes delicious #Pride Punch. #Pride4Everybody",2015-06-23,2015-06-21
Indulge yourself with a Big Banana Punch. It’s easy and delicious! #Pride4Everybody #Punch4Everybody ? ?,2015-06-24,2015-06-21
"RT @lovelyindeed: The perfect punch for your July 4th party, on the blog today with @SmirnoffUS! #Punch4Everybody #ad",2015-06-25,2015-06-21
Celebrate freedom this #July4th with the freedom to choose one of two delicious Freedom Punches. #Punch4Everybody,2015-06-25,2015-06-21
"Finally, now it's just called marriage. #MarriageEquality #LoveWins #Marriage4Everybody #Pride4Everybody",2015-06-26,2015-06-21
RT @sarahhearts: Let’s pretend we’re at the beach &amp; drink @SmirnoffUS tropical punch.,2015-06-26,2015-06-21
"The easy way to salute the flag, the country for which it stands and your entire #July4th party. #Punch4Everybody",2015-06-27,2015-06-21
Follow us &amp; tag a selfie w @SmirnoffUS + #Pride4Everybody to add your pic to our #Pride float #LoveCantWait #LoveWins,2015-06-27,2015-06-21
RT @grandbabycake: My @SmirnoffUS Snow Cones are 4th of July gold!  Recipe up now! #ad #Punch4Everybody,2015-06-29,2015-06-28
Celebrate 'Merica like a true 'Merican with the #Merica Mule. And other 'bbreviated words. #July4th #Punch4Everybody,2015-06-29,2015-06-28
RT @sarahhearts: The perfect 4th of July punch!,2015-06-30,2015-06-28
Do you need to make the Watermelon Smash in a watermelon? No. But you'll look way cooler if you do. #Punch4Everybody,2015-06-30,2015-06-28
RT @nandita: Fresh berries &amp; @SmirnoffUS Raspberry make for a perfect 4th of July sip!,2015-07-01,2015-06-28
"The Berry American Punch is the easy, delicious, berry patriotic way to celebrate #July4th. #America #Punch4Everybody",2015-07-01,2015-06-28
"The deliciously patriotic Yankee Doodle Shandy. Perfect for every #BBQ, #Cookout, #Clambake and #July4th party.",2015-07-02,2015-06-28
RT @ClosetTweets: I’ll give you one guess what @SmirnoffUS flavor I’ll be serving this #4thofJuly… #ad #Punch4Everybody,2015-07-04,2015-06-28
We think you’re going to need a bigger bowl – for this easy and delicious #Shark Bite Punch.,2015-07-07,2015-07-05
"Doesn't matter if you're a hero or villain, Smirnoff should be in your utility belt this week in #SanDiego. #cosplay",2015-07-10,2015-07-05
"Red, white &amp; blue, round deux! Enjoy #BastilleDay like the #French, with flutes, fizz and a certain je ne sais quoi.",2015-07-14,2015-07-12
"Taking trip this #summer? Make a Peach Pit Stop, best enjoyed in an overnight camper. #Punch4Everybody",2015-07-15,2015-07-12
RT @ClosetTweets: Today I’m whipping up Ruby Mimosas with @SmirnoffUS. Check it out!  #ad #Punch4Everybody,2015-07-17,2015-07-12
RT @grandbabycake: I'm feeling peachy now that my @SmirnoffUS Peach Nectar Punch is up now! #punch4everybody #ad,2015-07-22,2015-07-19
"When life hands you ?, pretend they're #limes and pour some pretend #tequila Smirnoff shots on #NationalTequilaDay.",2015-07-24,2015-07-19
"The Tex on The Beach is easy, delicious, and looks super Texy with a bolo tie. #Punch4Everybody",2015-07-24,2015-07-19
First a female pro football ref and now a coach. Raise a #SmirnoffIce bottle and let's hear it for ladies with game.,2015-07-28,2015-07-26
"It’s #NationalCheesecakeDay, friends — you can have your cake and drink it too.",2015-07-30,2015-07-26
Make your #summer #weekend grand by packing this delicious day drink accoutrement. #EasyDrinks,2015-07-31,2015-07-26
….and nature’s helmet #DrinkResponsibly ??? #NationalWatermelonDay,2015-08-03,2015-08-02
Today we honor nature’s punch bowl. ??? #NationalWatermelonDay,2015-08-03,2015-08-02
RT @sarahhearts: Hosting a party? I’ve got two @SmirnoffUS punch recipes you’ve gotta try!,2015-08-04,2015-08-02
RT @sarahhearts: The perfect way to enjoy summer peaches.,2015-08-05,2015-08-02
Everybody's a bartender in our book but not everybody is a bartender who goes on to become America’s funniest newsman. #FinalEpisode,2015-08-06,2015-08-02
"The Backyard Luau Punch is easy, delicious and tastes like vacation no matter where you drink it. #Punch4Everybody",2015-08-07,2015-08-02
RT @nandita: A Minty Grapefruit Vodka Punch for your next backyard bbq:,2015-08-11,2015-08-09
RT @lovelyindeed: BBQing this weekend? Make some popsicles with @SmirnoffUS!,2015-08-13,2015-08-09
Don’t wait until 5 o’clock to kick back with a tasty drink. It’s 2 o'clock on a #SummerFriday somewhere. #TGIF,2015-08-14,2015-08-09
Your fave fruit medley steeped in Smirnoff Raspberry = #Summer  #EasyDrinks,2015-08-18,2015-08-16
RT @grandbabycake: Throwing a bridal shower? Add my @SmirnoffUS Sherbet Frappe to the menu! #punch4everybody #ad,2015-08-22,2015-08-16
"From special movie screenings with @alisonbrie to movie nights on the sofa, this drink is #ExclusivelyForEverybody.",2015-08-26,2015-08-23
"RT @nandita: Throw the best Tiki Party EVER! Get tips, recipes &amp; more:",2015-08-27,2015-08-23
"With #summer coming to a close, you’ll need a punch that works for both hot days and…CHILI nights #BaDumShh",2015-08-28,2015-08-23
"While the stars collect their hardware, grab some #glassware, some Smirnoff and your best buds. Cheers! #AwardsNight #Music4Everybody",2015-08-30,2015-08-30
"Stay tuned for a new addition to #SourHour, people. Trust us, this one’s worth the wait. #New #GoodTimes",2015-08-31,2015-08-30
The Beach? Sunbathing? Camping? Whatever you do this #LaborDay stay as cool as a cucumber with this #EasyDrink.,2015-09-01,2015-08-30
