eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long,geo,city,eventweek
2012-01-01,"Ames, Iowa, United States",1.5596856545146127,42.0347,-93.6199,"42.0347,-93.6199",AMES,2012-01-01
2012-01-01,"Cornell College, Iowa, United States",8.868999186330349,41.9258,-91.4254,"41.9258,-91.4254",MOUNT VERNON,2012-01-01
2012-01-01,"Urbandale, Iowa, United States",0.16868986206869954,41.6267,-93.7122,"41.6267,-93.7122",URBANDALE,2012-01-01
2012-01-01,"Sioux Center, Iowa, United States",0.6101887327940967,43.0797,-96.1756,"43.0797,-96.1756",SIOUX CENTER,2012-01-01
2012-01-01,"Oskaloosa, Iowa, United States",0.2899562532363774,41.2964,-92.6444,"41.2964,-92.6444",OSKALOOSA,2012-01-01
2012-01-01,"Sioux City, Iowa, United States",0.15336307957817455,42.5,-96.4003,"42.5,-96.4003",SIOUX CITY,2012-01-01
2012-01-01,"Madison, Iowa, United States",0.0,43.1686,-93.7244,"43.1686,-93.7244",BRITT,2012-01-01
2012-01-01,"Jubilee Family Church, Iowa, United States",1.9128113879003548,41.2922,-92.6499,"41.2922,-92.6499",OSKALOOSA,2012-01-01
2012-01-02,"Drake University, Iowa, United States",6.49087221095335,41.6014,-93.6519,"41.6014,-93.6519",DES MOINES,2012-01-01
2012-01-02,"Marshalltown, Iowa, United States",2.0166073546856467,42.0494,-92.90799999999999,"42.0494,-92.90799999999999",MARSHALLTOWN,2012-01-01
2012-01-02,"University Of Iowa, Iowa, United States",1.46586345381526,41.6617,-91.5363,"41.6617,-91.5363",IOWA CITY,2012-01-01
2012-01-02,"Jubilee Family Church, Iowa, United States",6.576200417536531,41.2922,-92.6499,"41.2922,-92.6499",OSKALOOSA,2012-01-01
2012-01-03,"Cedar Valley, Iowa, United States",3.2745591939546603,41.7264,-91.2466,"41.7264,-91.2466",WEST BRANCH,2012-01-01
2012-01-03,"Dubuque, Iowa, United States",0.4561911488144846,42.5006,-90.6646,"42.5006,-90.6646",DUBUQUE,2012-01-01
2012-01-03,"Fort Madison, Iowa, United States",0.3304294141883841,40.6298,-91.3151,"40.6298,-91.3151",FORT MADISON,2012-01-01
2012-01-03,"Calvary Baptist Church, Iowa, United States",0.7662835249042134,40.9881,-91.9696,"40.9881,-91.9696",FAIRFIELD,2012-01-01
2012-01-03,"Johnson County, Iowa, United States",3.34212840809147,41.6667,-91.5335,"41.6667,-91.5335",IOWA CITY,2012-01-01
2012-01-03,"Northeast Iowa Community College, Iowa, United States",1.5806988352745426,43.1753,-91.8665,"43.1753,-91.8665",FORT ATKINSON,2012-01-01
2012-01-04,"Cambridge, Iowa, United States",10.996563573883199,41.8983,-93.5291,"41.8983,-93.5291",CAMBRIDGE,2012-01-01
2012-01-04,"Pella, Iowa, United States",2.3838630806845953,41.4081,-92.9163,"41.4081,-92.9163",PELLA,2012-01-01
2012-01-04,"Valley High School, Iowa, United States",0.6097781443699576,41.5797,-93.7122,"41.5797,-93.7122",WEST DES MOINES,2012-01-01
2012-01-04,"Polk County, Iowa, United States",2.3306317973569515,41.6833,-93.5835,"41.6833,-93.5835",ANKENY,2012-01-01
2012-01-04,"Plymouth County, Iowa, United States",0.6615598885793876,42.7333,-96.2336,"42.7333,-96.2336",MERRILL,2012-01-01
2012-01-04,"Jasper County, Iowa, United States",6.48072190319934,41.6833,-93.0502,"41.6833,-93.0502",NEWTON,2012-01-01
