weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars,TweetCount
2012-01-01,Admiral Nelson,1075.5,12071.9,1
2012-01-01,Crown Royal,3700.75,104620.57,12
2012-01-01,Smirnoff,5303.775,75216.7,10
2012-01-08,Absolut,3925.75,84386.8300000001,1
2012-01-08,Admiral Nelson,2683.125,29356.43,1
2012-01-08,Crown Royal,4298.325,120982.7,10
2012-01-08,Smirnoff,7627.675,106493.88,1
2012-01-15,Absolut,7864.9,168034.32,7
2012-01-15,Admiral Nelson,2194,24293.27,1
2012-01-15,Crown Royal,4814.075,136985.64,19
2012-01-22,Absolut,6975.8,148242.87,1
2012-01-22,Admiral Nelson,3591,40669.1899999999,1
2012-01-22,Crown Royal,4507.375,124122.67,4
2012-01-29,Absolut,4188.8,89494.2300000001,1
2012-01-29,Crown Royal,6116.275,173533.88,2
2012-02-05,Absolut,4938.225,105707.98,1
2012-02-05,Admiral Nelson,6787.25,71569.0999999999,1
2012-02-05,Crown Royal,5703.62500000001,160497.08,3
2012-02-12,Absolut,4683.625,99375.9200000001,2
2012-02-12,Admiral Nelson,3802.475,40077.48,1
2012-02-19,Admiral Nelson,3854.15,40842.3999999999,1
2012-02-19,Crown Royal,7216.8,202886.56,11
2012-02-26,Crown Royal,5837.775,163441.92,7
2012-03-04,Absolut,4072.65,86761.7600000002,4
2012-03-04,Admiral Nelson,6395.2,66667.7499999999,2
2012-03-04,Crown Royal,4849.425,137724.03,6
2012-03-11,Absolut,6139.825,132455,3
2012-03-11,Admiral Nelson,6085.15,63457.9899999999,1
2012-03-11,Crown Royal,5473.325,153513.62,1
2012-03-18,Admiral Nelson,4479.75,47181.7799999999,1
2012-03-18,Crown Royal,5769.85,160058.23,3
2012-03-25,Absolut,4651.925,99816.4200000003,1
2012-03-25,Admiral Nelson,6092.675,63458.68,1
2012-03-25,Crown Royal,6431.675,177953.31,4
2012-04-01,Admiral Nelson,3780.975,39958.22,1
2012-04-01,Crown Royal,7454.475,208816.2,3
2012-04-08,Absolut,6703.45,133279.66,1
2012-04-08,Admiral Nelson,4190.15,44408.8299999999,1
2012-04-08,Crown Royal,6197.65,174494.45,1
2012-04-15,Admiral Nelson,4370.75,46182.1799999999,1
2012-04-15,Crown Royal,7869.55,219878.19,10
2012-04-22,Absolut,5606.3,119944.12,1
2012-04-22,Admiral Nelson,4055.825,42820.07,1
2012-04-22,Crown Royal,4838.75,134630.83,16
2012-04-29,Admiral Nelson,5125.5,54105.5299999999,1
2012-04-29,Crown Royal,5432.775,152566.08,7
2012-05-06,Admiral Nelson,4564.475,47905.5599999999,1
2012-05-06,Crown Royal,5398.4,151243.86,4
2012-05-13,Admiral Nelson,5219.45,54798.3599999999,1
2012-05-13,Crown Royal,5364.07500000001,150050.02,4
2012-05-20,Admiral Nelson,8527.425,89167.4499999999,1
2012-05-20,Crown Royal,6939.2,198591.36,3
2012-05-27,Absolut,5771.275,120244.39,1
2012-05-27,Admiral Nelson,4144.175,43205.26,1
2012-05-27,Crown Royal,4626.4,129877.21,1
2012-06-03,Admiral Nelson,4743.4,49857.8399999999,1
2012-06-03,Crown Royal,7390.72500000001,207422.64,8
2012-06-10,Absolut,6286.9,134122.11,1
2012-06-10,Admiral Nelson,4130.325,43674.0999999999,1
2012-06-10,Crown Royal,11735.75,326301.76,11
2012-06-10,Smirnoff,15258.175,211235.25,9
2012-06-17,Admiral Nelson,3889.725,41153.7199999999,1
2012-06-17,Crown Royal,8511.275,242565.34,16
2012-06-17,Smirnoff,11636.55,164365.88,4
2012-06-24,Admiral Nelson,5059.975,53700.49,1
2012-06-24,Crown Royal,10021.1,282562.78,15
2012-07-01,Absolut,7432.725,154241.56,2
2012-07-01,Admiral Nelson,5809.825,60464.4299999999,3
2012-07-01,Crown Royal,5041.15,143200.31,17
2012-07-01,Smirnoff,9198.85,133264.66,3
