item,sum_sale_liters,sum_sale_dollars
BLACK VELVET,6007985.5,55825349.57
HAWKEYE VODKA,4210411.575,26846845.240000002
CAPTAIN MORGAN SPICED RUM,3125386.825,52325290.73
FIVE O'CLOCK VODKA,2521899.075,16294308.93
SMIRNOFF VODKA,1794435.875,26271375.72
BARTON VODKA,1753339.875,10520115.169999998
JACK DANIELS OLD #7 BLACK LBL,1749226.85,46366765.69
FIREBALL CINNAMON WHISKEY,1670095.4,27520516.43
MCCORMICK VODKA,1538029.2,10604848.68
PHILLIPS VODKA,1482907.5,9565728.9
BACARDI SUPERIOR RUM,1255692.05,17475283.650000002
SEAGRAMS 7 CROWN BL WHISKEY,1185335.475,13291794.459999999
ADMIRAL NELSON SPICED RUM,1141308.625,11964590.14
ABSOLUT SWEDISH VODKA,1129942.2249999999,23836825.41
CROWN ROYAL CANADIAN WHISKY,1108917.875,30783970.81
PARAMOUNT WHITE RUM,1083404.125,7476392.23
CANADIAN LTD WHISKY,983267.5,7503104.19
JIM BEAM,891109.9,16430260.760000002
FIVE STAR,883844.2,6013293.97
JAGERMEISTER LIQUEUR,874091.7250000001,20827794.25
JOSE CUERVO ESPECIAL REPOSADO TEQUILA,777992.65,15235159.77
SOUTHERN COMFORT,776662.225,14322751.189999998
MALIBU COCONUT RUM,762658.125,11331764.629999999
UV BLUE (RASPBERRY) VODKA,730605.75,8107233.57
DR. MCGILLICUDDY'S CHERRY SCHNAPPS,642711.75,10056901.67
WINDSOR CANADIAN,630362.25,5077871.03
SKOL VODKA,626583.875,3946387.96
CAPTAIN MORGAN SPICED,626082.0,10953952.91
KESSLER BLEND WHISKEY,615210.7,6246127.21
NIKOLAI VODKA,612713.775,3713510.14
JOSE CUERVO AUTHENTIC LIME MARGARITA,611739.2,4345445.09
JUAREZ TEQUILA GOLD,610574.5,6368565.64
RUMCHATA,599027.0,14749761.38
GREY GOOSE VODKA,597818.25,20472215.52
TEN HIGH,581120.75,4522059.27
CAPTAIN MORGAN SPICED BARREL,579568.5,8869087.5
UV VODKA,542991.75,5274397.16
JAMESON,498218.275,13666376.09
PARAMOUNT PEPPERMINT SCHNAPPS,466399.5,3159079.0
CROWN ROYAL,455720.35,13499251.64
SVEDKA VODKA,454234.35,6079210.01
FLEISCHMANN'S ROYAL VODKA,438210.0,2666679.95
POPOV VODKA,436435.05,3508223.21
CANADIAN CLUB WHISKY,431491.205,6134041.48
PINNACLE VODKA,420181.7,4454947.5
SEAGRAMS EXTRA DRY GIN,419721.325,5159310.47
BAILEY'S IRISH CREAM,399718.3,10006809.6
TANQUERAY GIN,370314.07300000003,8476027.19
PARAMOUNT GOLD RUM,368431.75,2558281.33
PARAMOUNT GIN,367071.75,2336462.39
BEAM'S 8 STAR BL WHISKEY,363211.325,2473907.53
TITOS HANDMADE VODKA,361785.125,6142462.97
PARAMOUNT AMARETTO,356151.75,2277537.8
KINKY LIQUEUR,354806.75,7021955.81
NEW AMSTERDAM VODKA,350896.225,4628719.69
TEMPLETON RYE,347481.0,12434853.95
JUAREZ TRIPLE SEC,341352.75,1198289.77
OLD CROW,329241.0,2667913.31
BLACK VELVET TOASTED CARAMEL,323620.025,4235891.24
PAUL MASSON GRANDE AMBER BRANDY,313992.8,4071028.46
BACARDI LIMON,313379.574,4742088.65
HAWKEYE BLEND WHISKEY,309515.25,2010996.06
JUAREZ GOLD DSS,288329.0,2085105.02
KETEL ONE IMPORTED VODKA,280780.875,6949661.09
KAHLUA COFFEE LIQUEUR,280127.125,6434070.49
CHI-CHI'S MARGARITA W TEQUILA,279405.0,1511377.24
BURNETT'S VODKA,274901.5,2345300.08
RUMPLE MINZE PEPPERMINT SCHNAPPS LIQUEUR,274685.7,6559737.85
MAKER'S MARK,270048.675,8651645.049999999
DEKUYPER PEACHTREE,264173.0,3002140.49
E & J VS,262558.9,2900296.27
LAUDER'S,253331.5,2399660.91
PARAMOUNT BLACKBERRY BRANDY,242784.125,2490834.01
FIREBALL CINNAMON WHISKEY DISPENSER,241260.0,3585123.6
TITOS VODKA,231873.75,4475543.74
CHRISTIAN BROS BRANDY,230679.65,2595786.0599999996
MONTEZUMA GOLD TEQUILA,229117.0,2412602.01
SCORESBY RARE SCOTCH,227537.5,2088417.5
CANADIAN RESERVE WHISKY,223544.5,1740467.6
PATRON TEQUILA SILVER,219808.55,11934667.87
ABSOLUT CITRON (LEMON VODKA),216627.0,4648055.66
JOSE CUERVO GOLDEN MARGARITA,212345.0,1936194.81
HENNESSY VS COGNAC,209974.1,7675704.5
BACARDI GOLD RUM,205156.65,2850301.48
CASTILLO SILVER RUM,196459.75,1440225.11
SAILOR JERRY SPICED NAVY RUM,194496.5,3413163.29
TORTILLA GOLD DSS,188360.0,1274367.35
JOSE CUERVO AUTHENTIC LIGHT MARGARITA LIME,185556.0,1295325.6
ARROW PEPPERMINT SCHNAPPS,184755.325,1288597.24
JACK DANIEL'S TENNESSEE HONEY,183052.125,5058895.029999999
HAWKEYE LIGHT RUM,181429.5,1181207.43
ANCIENT AGE BOURBON,180450.75,1907969.56
JOSE CUERVO AUTHENTIC STRAWBERRY MARGARITA,178913.75,1269369.57
JUAREZ TEQUILA SILVER,175826.75,1870640.44
UV RED (CHERRY) VODKA,175601.75,2026691.78
CROWN ROYAL REGAL APPLE,172864.44999999998,5170228.470000001
HENNESSY VS,171795.375,6817100.56
LADY BLIGH SPICED RUM,168681.75,1576560.15
CANADIAN MIST CANADIAN WHY,165410.0,1492380.12
UV CAKE VODKA,164364.75,2069668.6500000001
EVERCLEAR ALCOHOL,160812.0,2787475.74
PARAMOUNT TRIPLE SEC,157673.0,936035.46
SKYY VODKA,155378.25,2634739.68
FIVE O'CLOCK GIN,153841.025,1053741.08
BOMBAY SAPPHIRE GIN,151990.65,3892534.47
DEWARS WHITE LABEL SCOTCH,149697.225,3739262.62
E & J VS BRANDY,147723.75,1905499.35
BLACK VELVET RESERVE,145196.75,1835572.5
DEKUYPER WATERMELON PUCKER,142540.25,1648709.74
FRIS DANISH VODKA,141779.5,1255415.22
NEW AMSTERDAM PEACH,141476.7,1971528.44
DEKUYPER SOUR APPLE,141086.0,1600781.39
NEW AMSTERDAM GIN,139485.675,1850163.5
DEKUYPER TRIPLE SEC,135976.0,457247.58
EVAN WILLIAMS YR STR BOURBON,127898.75,1535530.43
WILD TURKEY 101,127797.0,3134537.36
PLATINUM 7X VODKA,127508.9,1037696.5
DR. MCGILLICUDDY'S MENTHOLMINT,125824.5,2018931.8800000001
SEAGRAMS V.O. BL CANADIAN WHISKY,122107.5,1722481.07
JEREMIAH WEED SWEET TEA VODKA,121412.75,2170412.86
DEKUYPER HOT DAMN!,120388.5,1428905.57
RYAN'S CREAM LIQUEUR,119104.25,1343310.63
BARTON GIN,118083.45,695407.84
DESERT ISLAND LONG ISLAND ICE TEA COCKTAIL,115364.0,723909.25
DEKUYPER GRAPE PUCKER,111731.0,1269155.49
EVAN WILLIAMS STR BOURBON,111512.25,1526602.14
PARAMOUNT APRICOT FLAVORED BRANDY,110315.5,1139786.66
JOSE CUERVO ESPECIAL SILVER,109886.55,2234879.88
HAWKEYE GIN,108315.0,667642.28
KINKY BLUE,104341.0,2049427.1
TORTILLA WHITE TEQUILA,102837.0,1118105.21
KORSKI VODKA,100806.0,604139.79
PHILLIPS WHITE RUM,100544.75,665603.7
DEKUYPER LUSCIOUS PEACHTREE SCHNAPPS,96328.5,1198657.1
GILBEY'S GIN LONDON DRY,96272.25,870300.51
BARTON RUM LIGHT,95828.0,574586.2
SUNNY BROOK BLEND WHISKEY,95570.75,651004.5
DEKUYPER BUTTERSHOTS,95403.0,1082222.73
SEAGRAMS VODKA,95051.25,906107.36
CHI-CHI'S GOLD MARGARITA,93212.0,504315.96
SAUZA GOLD,90510.25,1553905.18
BEEFEATER GIN,90485.5,1885247.73
UV GRAPE VODKA,88845.0,1075241.21
TEQUILA ROSE LIQUEUR,83658.0,1494265.31
RICH & RARE CANADIAN WHISKY,82487.5,632993.29
FIREBALL CINNAMON WHISKY,82338.975,1660919.74
MONTEZUMA TRIPLE SEC,81694.0,260997.18
WILD TURKEY AMERICAN HONEY,80414.25,1668190.22
E & J VSOP SUPERIOR RESERVE,80329.05,1155830.51
JOHNNIE WALKER RED,79466.75,2137136.01
GORDON'S GIN LONDON DRY -,78041.25,725599.08
YUKON JACK CANADIAN LIQUEUR,77600.0,1385308.03
SOBIESKI VODKA,76642.5,814745.58
CAPTAIN MORGAN LONG ISLAND ICED TEA,76399.75,709638.94
