weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars
2012-01-01,Absolut,3274.075,70085.4700000001
2012-01-01,Admiral Nelson,1075.5,12071.9
2012-01-01,Bacardi,5452.02,76387.8
2012-01-01,Barton,4413.5,26323.84
2012-01-01,Black Velvet,7527.05,73393.8000000001
2012-01-01,Canadian,9159.37500000001,131717.18
2012-01-01,Captain Morgan,10051.375,161562.41
2012-01-01,Crown Royal,3700.75,104620.57
2012-01-01,Fireball,2153.25,35972.49
2012-01-01,Five,8440.45,54141.87
2012-01-01,Five Star,2031.675,13652.31
2012-01-01,Hawkeye,9415.5,59622.1699999999
2012-01-01,Jack Daniels,4555.95,113553.06
2012-01-01,Jagermeister,3028.775,69820.7
2012-01-01,Jim Beam,2781.375,49603.78
2012-01-01,McCormick,125.75,1287.8
2012-01-01,Paramount,10566.25,76969.6300000001
2012-01-01,Phillips,3259.5,21288.65
2012-01-01,Seagrams,5129.6,57263.6899999999
2012-01-01,Smirnoff,5303.775,75216.7
2012-01-08,Absolut,3925.75,84386.8300000001
2012-01-08,Admiral Nelson,2683.125,29356.43
2012-01-08,Bacardi,6760.197,95108.3799999999
2012-01-08,Barton,7104.25,42280.13
2012-01-08,Black Velvet,13357.975,131179.53
2012-01-08,Canadian,13000.725,171381.05
2012-01-08,Captain Morgan,15815.35,252940.07
2012-01-08,Crown Royal,4298.325,120982.7
2012-01-08,Fireball,1879.125,30146.06
2012-01-08,Five,13152.675,84404.34
2012-01-08,Five Star,3296.275,22072.46
2012-01-08,Hawkeye,18895.25,119128.84
2012-01-08,Jack Daniels,5096.8,127775.73
2012-01-08,Jagermeister,4052.925,92441.7799999999
2012-01-08,Jim Beam,2984.125,53846.6900000001
2012-01-08,McCormick,272.5,2085.92
2012-01-08,Paramount,14061.875,101791.25
2012-01-08,Phillips,5027.375,32531.55
2012-01-08,Seagrams,7165.573,80464.8
2012-01-08,Smirnoff,7627.675,106493.88
2012-01-15,Absolut,7864.9,168034.32
