month,county,sum_sale_liters,sum_sale_dollars,population,LitersPerCapita,salesPerCapita,MMNT,MMXT,MNTM,TPCP,TSNW
2012-01-01,ADAIR,2166,24967.11,26274,8.24389129938342e-002,0.950259191596255,-8.2,3.6,-2.3,6.75,6.4
2012-01-01,ADAMS,701.1,8803.29,7685,9.12296681847755e-002,1.14551594014314,-8.9,5.7,-1.6,3,2.5
2012-01-01,ALLAMAKEE,4177.675,47799.05,27224,0.153455590655304,1.75576880693506,-9.533333333,0.166666667,-4.7,29.78,31.54
2012-01-01,APPANOOSE,3395.875,38976.62,23417,0.145017508647564,1.66445829952599,-7.366666667,4.333333333,-1.6,10.14,5.94
2012-01-01,AUDUBON,1245,13472.98,11661,0.106766143555441,1.15538804562216,-10.1,2.7,-3.7,3.4,4.6
2012-01-01,BENTON,3474.875,40914.91,37214,9.33754769710324e-002,1.09944940076315,-8.75,2.5,-3.15,16.96666667,17.33333333
2012-01-01,BLACK HAWK,69877.97,954126.77,1580758,4.42053559115311e-002,0.603588133034911,-10.4,1.5,-4.5,61.775,37.5
2012-01-01,BOONE,7798.625,92176.26,99052,7.8732635383435e-002,0.930584541452974,-8.566666667,3.666666667,-2.433333333,10.96666667,5.416666667
2012-01-01,BREMER,11119.425,140427.92,76260,0.145809402045633,1.84143613952269,-10.2,-0.1,-5.1,33.2,36.2
2012-01-01,BUCHANAN,5351.7,64501.1,89088,6.00720635775862e-002,0.724015580100575,-10.8,0,-5.4,21.65,37.85
2012-01-01,BUENA VISTA,6121.925,77875.5,46748,0.13095586976983,1.66585736288183,-10.15,0.8,-4.7,6.3,16.75
2012-01-01,BUTLER,1582.625,16983.97,19479,8.1247753991478e-002,0.871911802453925,-10.3,0.5,-4.9,23.56666667,27.46666667
2012-01-01,CALHOUN,1901.425,21284.8,23845,7.97410358565737e-002,0.892631578947368,-9.1,2.2,-3.4,7.7,7.6
2012-01-01,CARROLL,12125.9,148963.71,93165,0.1301551011646,1.59892352278216,-9.1,2.8,-3.1,4.7,4.8
2012-01-01,CASS,4899.425,61514.24,41897,0.116939757023176,1.46822540993389,-9.9,3.6,-3.1,7.671428571,4.566666667
2012-01-01,CEDAR,2370.45,26756.33,42947,5.51947749551773e-002,0.623008126295201,-10,2.3,-3.9,20.9,34.9
2012-01-01,CERRO GORDO,26668.393,314997.55,166670,0.160007157856843,1.88994750104998,-10.35,0.05,-5.15,25.225,21.45
2012-01-01,CHEROKEE,3979.677,49738.34,22260,0.17878153638814,2.23442677448338,-10.4,1.8,-4.3,14.56666667,10.23333333
2012-01-01,CHICKASAW,2672.025,31267.62,18527,0.144223295730555,1.68767852323636,-10.8,-0.3,-5.5,24.38,26.12
2012-01-01,CLARKE,2587.6,32483.46,29832,8.67390721373022e-002,1.08887972646822,-8.5,4.6,-2,10.5,5.1
2012-01-01,CLAY,7634.625,82686.77,101489,7.5226132881396e-002,0.814736276837884,-10.35,0.9,-4.75,11.8,23.16666667
2012-01-01,CLAYTON,2720,33751.26,28766,9.45560731419036e-002,1.17330390043802,-10.73333333,0.666666667,-5.033333333,31.125,36.375
2012-01-01,CLINTON,22007.975,268039.91,179971,0.122286229448078,1.48935056203499,-8.65,1.9,-3.4,23.21666667,31.38
2012-01-01,CRAWFORD,4527.95,59582.04,36860,0.122841833966359,1.61644167118828,-8.8,1.6,-3.6,4.666666667,4.633333333
2012-01-01,DALLAS,13020.3,199369.24,417990,3.11497882724467e-002,0.476971315103232,-9,4.3,-2.3,6.966666667,2.7
2012-01-01,DAVIS,767.25,7577.49,13085,5.86358425678258e-002,0.579097439816584,-7.1,4.2,-1.4,9.5,6.6
2012-01-01,DECATUR,817.65,10547.89,19019,4.29912193070088e-002,0.554597507755403,-7.433333333,4.933333333,-1.2,6.533333333,5.35
2012-01-01,DELAWARE,3881.4,54232.58,21483,0.18067309035051,2.52444165153843,-10.6,0.2,-5.2,34.9,27.2
2012-01-01,DES MOINES,17736.425,212548.54,250221,7.08830393931764e-002,0.849443252165086,-6.1,4.166666667,-1.1,15.22,13.03333333
2012-01-01,DICKINSON,21007.85,266954.81,52534,0.399890547074276,5.08156260707351,-9.966666667,0.3,-4.833333333,20.6,20.03333333
2012-01-01,DUBUQUE,47908.052,626760.28,329966,0.145190874211282,1.89946927865295,-9.4,0.866666667,-4.266666667,30.775,32.425
2012-01-01,EMMET,4117.85,50756.1,34500,0.119357971014493,1.47119130434783,-10.4,0.45,-4.95,12.53333333,7.1
2012-01-01,FAYETTE,6661.153,77100.4,46656,0.142771626371742,1.65252914951989,-10.3,-0.25,-5.3,34.3,32.85
2012-01-01,FLOYD,6902.815,82421,33254,0.207578486798581,2.47852889877909,-10.2,0.7,-4.8,22.5,23.45
