city,studentpercapita,LitersPerCapita,Population,School(s)
ACKLEY,0,6.8908733974359e-002,1560,
ADAIR,0,0.151329220348617,728,
ADEL,0,8.59048753859339e-002,4245,
AFTON,0,0.125726865414441,829,
AKRON,0,9.04089815557338e-002,1450,
ALBIA,0,0.111599447823005,3829,
ALDEN,0,0.175510391067422,764,
ALGONA,0,0.267131260648022,5470,
ALLISON,0,0.133666457954227,1029,
ALTA,0,7.01527838190518e-002,1936,
ALTA VISTA,0,0.414066776135742,261,
ALTON,0,0.231541829548275,1264,
ALTOONA,0,6.69195704085475e-002,16984,
ALVORD,0,0.349740932642487,193,
AMES,0.348043931377269,5.34928809761686e-002,65060,Iowa State University
ANAMOSA,0,0.139983693383183,5469,
ANITA,0,0.134766746656822,956,
ANKENY,0,2.81570173220964e-002,56764,
ANTHON,0,0.271766627886829,569,
ARLINGTON,0,0.251616353458617,410,
ARMSTRONG,0,0.147806320405601,889,
ARNOLDS PARK,0,0.409790638629392,1234,
ATLANTIC,0,0.214054333778994,6833,
AUDUBON,0,0.118468187814293,2017,
AURELIA,0,0.116769734801489,992,
AVOCA,0,0.306339098562027,1504,
BALDWIN,0,1.08817085953878,106,
BANCROFT,0,0.563704237390153,710,
BAXTER,0,8.20212357905014e-002,1103,
BEDFORD,0,7.30191696113074e-002,1415,
BELLE PLAINE,0,0.158678105844772,2475,
BELLEVUE,0,0.178913538157554,2176,
BELMOND,0,9.69140052278159e-002,2314,
BETTENDORF,0,5.81070819804052e-002,35505,
BEVINGTON,0,1.66586349331235,62,
BLOOMFIELD,0,6.09131416239801e-002,2617,
BLUE GRASS,0,7.12834234481594e-002,1676,
BONDURANT,0,2.48495953160633e-002,4996,
BOONE,0,0.105137642540143,12692,
BRITT,0,0.112186544786334,1973,
BROOKLYN,0,0.117579684629516,1420,
BUFFALO,0,7.16165040105292e-002,1299,
BUFFALO CENTER,0,0.119758268406944,895,
BURLINGTON,0,0.102669828315624,25410,
BUSSEY,0,0.205016629711752,410,
CAMANCHE,0,2.86851270591745e-002,4341,
CAMBRIDGE,0,7.96653515507776e-002,821,
CARLISLE,0,7.75031249259496e-002,4168,
CARROLL,0,0.233979085741038,9968,
CARTER LAKE,0,3.0392583376969e-002,3791,
CASCADE,0,9.08495743108375e-002,2271,
CASEY,0,0.267768794914317,402,
CEDAR FALLS,0.241956525733602,6.15309392449575e-002,41255,University of Northern Iowa
CEDAR RAPIDS,2.39658101746162e-002,5.14345830404178e-002,130405,"Coe College,Mount Mercy University"
CENTER POINT,0,5.09298210818598e-002,2521,
CENTERVILLE,0,0.190223078880647,5372,
CENTRAL CITY,0,8.99479905437353e-002,1269,
CHARITON,0,0.125218080544924,4214,
CHARLES CITY,0,0.190366147672876,7455,
CHEROKEE,0,0.203775578021234,5030,
CHESTER,0,0.9324,125,
CLARINDA,0,9.50199458084241e-002,5418,
CLARION,0,6.22356695196876e-002,2767,
CLARKSVILLE,0,0.102264880210232,1409,
CLEAR LAKE,0,0.244290601962625,7590,
CLINTON,0,0.154598601818827,26064,
CLIVE,0,3.42568869789146e-002,17419,
COLESBURG,0,0.207455919395466,397,
COLFAX,0,8.06875501907248e-002,2051,
COLO,0,0.139503856577027,861,
COLUMBUS JUNCTION,0,0.102236391932911,1860,
CONRAD,0,9.33255560928433e-002,1100,
COON RAPIDS,0,0.1054314546285,1269,
CORALVILLE,0,9.65983933135159e-002,20608,
CORNING,0,8.75153605279136e-002,1537,
CORWITH,0,0.28506100467067,269,
CORYDON,0,0.101964067578126,1589,
COUNCIL BLUFFS,0,8.91899024829647e-002,62597,
CRESCENT,0,0.259449404761905,630,
CRESCO,0,0.259678690774623,3833,
CRESTON,0,0.129532341477817,7854,
CUMMING,0,0.30056065653693,397,
DAKOTA CITY,0,0.124459504210427,813,
DANVILLE,0,0.108987713675214,936,
DAVENPORT,3.36037079953649e-002,6.82474537830453e-002,102582,Saint Ambrose University
DAYTON,0,0.132389888656066,798,
DE SOTO,0,0.117140401685856,1089,
DE WITT,0,8.61415842329944e-002,5242,
DECORAH,0.238099826556178,0.215612759053612,7907,Luther College
DELAWARE,0,3.14623397435897,156,
DELHI,0,0.121374734607219,471,
DELMAR,0,0.196675493149354,502,
DENISON,0,0.19443888404894,8334,
DENVER,0,9.2093857209414e-002,1835,
DES MOINES,3.4931151723157e-002,4.54172859596702e-002,210330,"Grand View University,Drake University"
DONNELLSON,0,0.140771691584514,901,
DOWS,0,0.174769378743497,514,
DUBUQUE,7.53274937489188e-002,0.159158621064984,58799,"Clarke University,Loras College,University of Dubuque"
DUMONT,0,0.164848953935641,627,
DUNLAP,0,0.178021670674313,977,
DURANT,0,6.77530174218112e-002,1816,
DYERSVILLE,0,0.182471118103824,4204,
DYSART,0,6.2966548978636e-002,1354,
EAGLE GROVE,0,0.102764459021134,3419,
EARLHAM,0,6.82100675640827e-002,1405,
EARLY,0,0.206677878907796,532,
EDDYVILLE,0,9.38212602614776e-002,1012,
EDGEWOOD,0,0.122407465660061,867,
ELDON,0,0.133816598360656,915,
ELDORA,0,0.157746058156155,2702,
ELDRIDGE,0,0.101500734131466,6232,
ELKADER,0,0.118593999403624,1213,
ELLSWORTH,0,0.20347029334056,509,
ELMA,0,0.294627709202441,539,
ELY,0,4.86716258066909e-002,2074,
EMMETSBURG,0,0.220043290092042,3811,
ESTHERVILLE,0,0.145622490974704,6011,
EVANSDALE,0,0.126581966091715,4812,
EVERLY,0,0.216039984112273,581,
EXIRA,0,0.132013993689121,788,
FAIRBANK,0,0.112849939438622,1117,
FAIRFAX,0,8.96554436752675e-002,2497,
FAIRFIELD,0,0.108584746644514,9892,
FARLEY,0,6.14875783852779e-002,1691,
FARMINGTON,0,0.271738325234088,649,
FAYETTE,0.793031649083843,0.124089599324341,1491,Upper Iowa University
FLOYD,0,0.619627463054187,328,
FONDA,0,0.24505766062603,607,
FONTANELLE,0,0.167341071648785,636,
FOREST CITY,0,0.189889101271001,4018,
FORT ATKINSON,0,0.431521069330816,336,
FORT DODGE,0,8.08286323929577e-002,24649,
FORT MADISON,0,0.105459344729715,10717,
FREDERICKSBURG,0,0.11805204700843,922,
GARNAVILLO,0,0.104167650531287,726,
GARNER,0,8.66362693559347e-002,3107,
GEORGE,0,8.88475358547842e-002,1055,
GILBERTVILLE,0,0.132069946452477,747,
GILMORE CITY,0,0.199078991466653,491,
GLADBROOK,0,0.102063329928498,890,
GLENWOOD,0,8.95994947331684e-002,5253,
GLIDDEN,0,9.95419254658385e-002,1127,
