STATEFP,PLACEFP,PLACENAME,city,population
19,190,Ackley city,ACKLEY,1560
19,370,Adair city,ADAIR,728
19,505,Adel city,ADEL,4245
19,595,Afton city,AFTON,829
19,775,Akron city,AKRON,1450
19,910,Albia city,ALBIA,3829
19,1045,Alden city,ALDEN,764
19,1135,Algona city,ALGONA,5470
19,1315,Allison city,ALLISON,1029
19,1495,Alta city,ALTA,1936
19,1540,Alta Vista city,ALTA VISTA,261
19,1585,Alton city,ALTON,1264
19,1630,Altoona city,ALTOONA,16984
19,1675,Alvord city,ALVORD,193
19,1855,Ames city,AMES,65060
19,1990,Anamosa city,ANAMOSA,5469
19,2260,Anita city,ANITA,956
19,2305,Ankeny city,ANKENY,56764
19,2350,Anthon city,ANTHON,569
19,2845,Arlington city,ARLINGTON,410
19,2935,Armstrong city,ARMSTRONG,889
19,3025,Arnolds Park city,ARNOLDS PARK,1234
19,3520,Atlantic city,ATLANTIC,6833
19,3655,Audubon city,AUDUBON,2017
19,3745,Aurelia city,AURELIA,992
19,3970,Avoca city,AVOCA,1504
19,4330,Baldwin city,BALDWIN,106
19,4420,Bancroft city,BANCROFT,710
19,4915,Baxter city,BAXTER,1103
19,5365,Bedford city,BEDFORD,1415
19,5590,Belle Plaine city,BELLE PLAINE,2475
19,5635,Bellevue city,BELLEVUE,2176
19,5680,Belmond city,BELMOND,2314
19,6355,Bettendorf city,BETTENDORF,35505
19,6490,Bevington city,BEVINGTON,62
19,7030,Bloomfield city,BLOOMFIELD,2617
19,7075,Blue Grass city,BLUE GRASS,1676
19,7390,Bondurant city,BONDURANT,4996
19,7480,Boone city,BOONE,12692
19,8605,Britt city,BRITT,1973
19,8695,Brooklyn city,BROOKLYN,1420
19,9235,Buffalo city,BUFFALO,1299
19,9280,Buffalo Center city,BUFFALO CENTER,895
19,9550,Burlington city,BURLINGTON,25410
19,9730,Bussey city,BUSSEY,410
19,10135,Camanche city,CAMANCHE,4341
19,10225,Cambridge city,CAMBRIDGE,821
19,10765,Carlisle city,CARLISLE,4168
19,11080,Carroll city,CARROLL,9968
19,11215,Carter Lake city,CARTER LAKE,3791
19,11305,Cascade city,CASCADE,2271
19,11395,Casey city,CASEY,402
19,11755,Cedar Falls city,CEDAR FALLS,41255
19,12000,Cedar Rapids city,CEDAR RAPIDS,130405
19,12270,Center Point city,CENTER POINT,2521
19,12315,Centerville city,CENTERVILLE,5372
19,12495,Central City city,CENTRAL CITY,1269
19,12720,Chariton city,CHARITON,4214
19,12765,Charles City city,CHARLES CITY,7455
19,13080,Cherokee city,CHEROKEE,5030
19,13125,Chester city,CHESTER,125
19,13575,Clarinda city,CLARINDA,5418
19,13620,Clarion city,CLARION,2767
19,13755,Clarksville city,CLARKSVILLE,1409
19,14025,Clear Lake city,CLEAR LAKE,7590
19,14430,Clinton city,CLINTON,26064
19,14520,Clive city,CLIVE,17419
19,15015,Colesburg city,COLESBURG,397
19,15060,Colfax city,COLFAX,2051
19,15240,Colo city,COLO,861
19,15420,Columbus Junction city,COLUMBUS JUNCTION,1860
19,15825,Conrad city,CONRAD,1100
19,16050,Coon Rapids city,COON RAPIDS,1269
19,16230,Coralville city,CORALVILLE,20608
19,16500,Corning city,CORNING,1537
19,16590,Corwith city,CORWITH,269
19,16635,Corydon city,CORYDON,1589
19,16860,Council Bluffs city,COUNCIL BLUFFS,62597
19,17175,Crescent city,CRESCENT,630
19,17220,Cresco city,CRESCO,3833
19,17265,Creston city,CRESTON,7854
19,17850,Cumming city,CUMMING,397
19,18075,Dakota City city,DAKOTA CITY,813
19,18435,Danville city,DANVILLE,936
19,19000,Davenport city,DAVENPORT,102582
19,19180,Dayton city,DAYTON,798
19,19405,Decorah city,DECORAH,7907
19,19630,Delaware city,DELAWARE,156
19,19675,Delhi city,DELHI,471
19,19720,Delmar city,DELMAR,502
19,19945,Denison city,DENISON,8334
19,20035,Denver city,DENVER,1835
19,21000,Des Moines city,DES MOINES,210330
19,21045,De Soto city,DE SOTO,1089
19,21180,De Witt city,DE WITT,5242
19,21810,Donnellson city,DONNELLSON,901
19,22305,Dows city,DOWS,514
19,22395,Dubuque city,DUBUQUE,58799
19,22620,Dumont city,DUMONT,627
19,22890,Dunlap city,DUNLAP,977
19,22980,Durant city,DURANT,1816
19,23115,Dyersville city,DYERSVILLE,4204
19,23160,Dysart city,DYSART,1354
19,23250,Eagle Grove city,EAGLE GROVE,3419
19,23340,Earlham city,EARLHAM,1405
19,23475,Early city,EARLY,532
19,23970,Eddyville city,EDDYVILLE,1012
19,24060,Edgewood city,EDGEWOOD,867
19,24420,Eldon city,ELDON,915
19,24465,Eldora city,ELDORA,2702
19,24600,Eldridge city,ELDRIDGE,6232
19,24690,Elkader city,ELKADER,1213
19,25050,Ellsworth city,ELLSWORTH,509
19,25095,Elma city,ELMA,539
19,25365,Ely city,ELY,2074
