FIPS,MMNT,MMXT,MNTM,TPCP,TSNW,county,month
19001,-8.2,3.6,-2.3,6.75,6.4,ADAIR,2012-01-01T00:00:00
19003,-8.9,5.7,-1.6,3,2.5,ADAMS,2012-01-01T00:00:00
19005,-9.533333333,0.166666667,-4.7,29.78,31.54,ALLAMAKEE,2012-01-01T00:00:00
19007,-7.366666667,4.333333333,-1.6,10.14,5.94,APPANOOSE,2012-01-01T00:00:00
19009,-10.1,2.7,-3.7,3.4,4.6,AUDUBON,2012-01-01T00:00:00
19011,-8.75,2.5,-3.15,16.96666667,17.33333333,BENTON,2012-01-01T00:00:00
19013,-10.4,1.5,-4.5,61.775,37.5,BLACK HAWK,2012-01-01T00:00:00
19015,-8.566666667,3.666666667,-2.433333333,10.96666667,5.416666667,BOONE,2012-01-01T00:00:00
19017,-10.2,-0.1,-5.1,33.2,36.2,BREMER,2012-01-01T00:00:00
19019,-10.8,0,-5.4,21.65,37.85,BUCHANAN,2012-01-01T00:00:00
19021,-10.15,0.8,-4.7,6.3,16.75,BUENA VISTA,2012-01-01T00:00:00
19023,-10.3,0.5,-4.9,23.56666667,27.46666667,BUTLER,2012-01-01T00:00:00
19025,-9.1,2.2,-3.4,7.7,7.6,CALHOUN,2012-01-01T00:00:00
19027,-9.1,2.8,-3.1,4.7,4.8,CARROLL,2012-01-01T00:00:00
19029,-9.9,3.6,-3.1,7.671428571,4.566666667,CASS,2012-01-01T00:00:00
19031,-10,2.3,-3.9,20.9,34.9,CEDAR,2012-01-01T00:00:00
19033,-10.35,0.05,-5.15,25.225,21.45,CERRO GORDO,2012-01-01T00:00:00
19035,-10.4,1.8,-4.3,14.56666667,10.23333333,CHEROKEE,2012-01-01T00:00:00
19037,-10.8,-0.3,-5.5,24.38,26.12,CHICKASAW,2012-01-01T00:00:00
19039,-8.5,4.6,-2,10.5,5.1,CLARKE,2012-01-01T00:00:00
19041,-10.35,0.9,-4.75,11.8,23.16666667,CLAY,2012-01-01T00:00:00
19043,-10.73333333,0.666666667,-5.033333333,31.125,36.375,CLAYTON,2012-01-01T00:00:00
19045,-8.65,1.9,-3.4,23.21666667,31.38,CLINTON,2012-01-01T00:00:00
19047,-8.8,1.6,-3.6,4.666666667,4.633333333,CRAWFORD,2012-01-01T00:00:00
19049,-9,4.3,-2.3,6.966666667,2.7,DALLAS,2012-01-01T00:00:00
19051,-7.1,4.2,-1.4,9.5,6.6,DAVIS,2012-01-01T00:00:00
19053,-7.433333333,4.933333333,-1.2,6.533333333,5.35,DECATUR,2012-01-01T00:00:00
19055,-10.6,0.2,-5.2,34.9,27.2,DELAWARE,2012-01-01T00:00:00
19057,-6.1,4.166666667,-1.1,15.22,13.03333333,DES MOINES,2012-01-01T00:00:00
19059,-9.966666667,0.3,-4.833333333,20.6,20.03333333,DICKINSON,2012-01-01T00:00:00
19061,-9.4,0.866666667,-4.266666667,30.775,32.425,DUBUQUE,2012-01-01T00:00:00
19063,-10.4,0.45,-4.95,12.53333333,7.1,EMMET,2012-01-01T00:00:00
19065,-10.3,-0.25,-5.3,34.3,32.85,FAYETTE,2012-01-01T00:00:00
19067,-10.2,0.7,-4.8,22.5,23.45,FLOYD,2012-01-01T00:00:00
19069,-9.5,1,-4.3,16.36666667,20.16666667,FRANKLIN,2012-01-01T00:00:00
19071,-5.75,6.35,0.25,8.666666667,8.266666667,FREMONT,2012-01-01T00:00:00
19073,-9,3.1,-3,3.55,4.05,GREENE,2012-01-01T00:00:00
19075,-9.4,1.5,-4,18.6,17.25,GRUNDY,2012-01-01T00:00:00
19077,-9.3,3.3,-3,2.88,3.6,GUTHRIE,2012-01-01T00:00:00
19079,-9.8,2.1,-3.8,10.83333333,10.06666667,HAMILTON,2012-01-01T00:00:00
19081,-9.5,0.05,-4.75,15,19.3,HANCOCK,2012-01-01T00:00:00
19083,-9.5,1.1,-4.2,16.425,29.925,HARDIN,2012-01-01T00:00:00
19085,-8.6,4.833333333,-1.866666667,4.675,2.2125,HARRISON,2012-01-01T00:00:00
19087,-8.2,3.6,-2.3,18.275,10.45,HENRY,2012-01-01T00:00:00
19089,-11.7,-0.5,-6.1,18.5,27.7,HOWARD,2012-01-01T00:00:00
19091,-10.1,1.5,-4.3,17.7,19.6,HUMBOLDT,2012-01-01T00:00:00
19093,-9.4,2.1,-3.6,9.5,11.75,IDA,2012-01-01T00:00:00
19095,-9.2,2.2,-3.5,23.73333333,17.95,IOWA,2012-01-01T00:00:00
19097,-9.55,0.9,-4.35,22.875,25.3,JACKSON,2012-01-01T00:00:00
19099,-7.3,3.233333333,-2.033333333,10.36666667,10.9,JASPER,2012-01-01T00:00:00
19101,-6.1,5.3,-0.4,16.6,15.3,JEFFERSON,2012-01-01T00:00:00
19103,-7.6,4.4,-1.6,30.4,24.34,JOHNSON,2012-01-01T00:00:00
19105,-9.3,1.7,-3.8,28.8,30.6,JONES,2012-01-01T00:00:00
19107,-8,2.9,-2.5,14.65,16.35,KEOKUK,2012-01-01T00:00:00
19109,-10.85,1.05,-4.85,18.8,11.1,KOSSUTH,2012-01-01T00:00:00
19111,-5.633333333,4.4,-0.6,13.425,11.23333333,LEE,2012-01-01T00:00:00
19113,-9,2,-3.5,27.58181818,18.08,LINN,2012-01-01T00:00:00
19115,,,,9.2,17.6,LOUISA,2012-01-01T00:00:00
19117,-9,4.3,-2.4,3.4,2.8,LUCAS,2012-01-01T00:00:00
